_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,TotalPolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,BaselineLoss,CriticLoss
-48.45,1000,0.00569690134320972,-0.801773456423087,0.6777246244373094,0.010539423656576787,-0.016494943047233392,-2.1750361919403076,2.224496603012085,0.3756213855781437,1.4210854715202004e-17,-1.7491617159756507,2.9803019951822622,0.9999581126951799,-0.11317123787325241,-0.2216874429313581,0.0,0.004134729286251408,20,-0.20620714,3.6628327,0.0012988973,0.6666666666666666,1.0,0.0024673910616215353,0.26554805
-49.75,1000,0.002911554556125579,-0.6373565332516337,0.5547730885462981,0.010567044813748589,-0.010470574386738008,-2.4065256118774414,2.1367549896240234,0.36248863099999085,7.105427357601002e-18,-1.9640401234233096,3.249651746807045,0.9999642535868511,-0.11755071234965624,-0.2216874429313581,-0.0050000000000000044,0.004045254856965789,40,-0.46216464,3.67364,0.0016039076,0.6666666666666666,1.0,0.0017311146913539406,2.255761
-49.35,1000,0.00690268773965832,-0.48272976210539226,0.48832989847659375,0.009117004347039501,-0.006839120615710272,-2.1012096405029297,2.2201313972473145,0.3628297336368215,4.263256414560601e-17,-2.186380343994451,3.6961295775982714,0.9999513887704412,-0.11604978612813362,-0.2216874429313581,0.0,0.004006233745132693,60,-0.83211654,3.707174,0.0015237498,0.6666666666666666,1.0,0.0007994167937445012,7.832116
-48.05,1000,0.012613887354809466,-0.7008974468834894,0.46677193401714645,0.010837753022299517,-0.0024545589998160723,-2.4896504878997803,2.0260727405548096,0.37411046391934116,-1.7763568394002505e-17,-2.8730255729905743,3.9597543391733407,0.999937021248109,-0.11303743144187166,-0.2216874429313581,0.0,0.0038903699079876884,80,-1.4475696,3.7202466,0.000839915,0.4444444444444444,1.0,0.0003122271245379451,22.382488
-48.85,1000,0.00041199722387685715,-0.5183500747506086,0.5854587243946989,0.010115432553599358,0.011428681331046391,-2.04959774017334,2.242169141769409,0.3728989970353895,7.105427357601002e-18,-3.36200353263198,3.268170548473405,0.9999343189714904,-0.11560996834727881,-0.2216874429313581,-0.0050000000000000044,0.00400340467320558,100,-2.0941713,3.7223492,0.0015990393,0.4444444444444444,1.0,0.00017407011656004066,33.604965
-48.55,1000,0.011575024044632494,-0.295966968865459,0.6746510110449339,0.010356697398432793,0.030895258372765966,-2.1112220287323,2.3743057250976562,0.3736214477435552,1.4210854715202004e-17,-4.912169574920102,3.531055630730279,0.9999097639305694,-0.11382865421256386,-0.2216874429313581,0.0,0.003984545238493209,120,-3.5500674,3.7115755,0.0017409942,0.4444444444444444,1.0,0.0001731241081010575,99.80153
-49.75,1000,0.011521353061109527,-0.3803177152927963,0.5764789654378129,0.009670344793289256,0.007173644398804754,-1.947145938873291,2.0237390995025635,0.36540425118740594,1.4210854715202004e-17,-5.395955338142822,3.7882229575419974,0.9998871281456513,-0.11706152553554176,-0.2216874429313581,-0.0050000000000000044,0.004026611869512896,140,-4.384005,3.7000341,0.0029534474,0.4444444444444444,1.0,0.0001208777928999045,105.2586
-49.65,1000,0.004857205521377614,-0.42258799716061946,0.8136606147421113,0.011179189962114627,0.035234000857686625,-2.1275634765625,2.1467297077178955,0.3673449869527141,-1.4210854715202004e-17,-2.823040761633022,3.225046415878943,0.9998569995686418,-0.11694555442767662,-0.2216874429313581,-0.0050000000000000044,0.004053725545706698,160,-8.019372,3.6999645,0.0015923417,0.4444444444444444,1.0,9.104578875444124e-05,434.2838
-49.25,1000,0.0013908183886563305,-0.5699765911618943,0.5494433848439505,0.010591831710734608,0.031993537790549455,-2.2687947750091553,2.233384609222412,0.37072305979466075,1.4210854715202004e-17,-2.8641690306713152,3.7297597820000554,0.9998746422389512,-0.11638960947892442,-0.2216874429313581,-0.0050000000000000044,0.003945413332803888,180,-12.74895,3.7059534,0.0018696234,0.4444444444444444,1.0,8.770069963815548e-05,1167.2418
-49.25,1000,0.018590104229567292,-0.43229171925849075,0.5309291719767703,0.009248967813511673,0.0342024497356615,-2.40273118019104,2.2312870025634766,0.380895239969981,-4.263256414560601e-17,-3.4460266690365935,3.933289973730491,0.9998457515140294,-0.11584160122242185,-0.2216874429313581,-0.0050000000000000044,0.0039749733735792115,200,-15.836631,3.7192612,0.0024646628,0.4444444444444444,1.0,9.777332038435932e-05,1420.8114
-49.35,1000,0.01977694651909536,-0.2659627896778874,0.5930179637165064,0.010449746267767516,0.04851968862302601,-1.983068823814392,2.315141201019287,0.35944222891134714,-2.842170943040401e-17,-2.417908279788926,3.9477815350121146,0.9998536248969553,-0.11651877874269499,-0.2216874429313581,-0.0050000000000000044,0.003970285319194575,220,-20.144308,3.7345243,0.0019366582,0.4444444444444444,1.0,8.904534503040965e-05,1983.4886
-49.55,1000,0.012486982129301038,-0.35056055530468694,0.6712776122498151,0.010723641445802451,0.033781762578641066,-2.269965648651123,2.2658815383911133,0.368979839979295,2.842170943040401e-17,-2.9150316938997616,3.2903614923037994,0.9998261943558275,-0.11722173117688849,-0.2216874429313581,-0.0050000000000000044,0.004001133709486083,240,-32.486485,3.731922,0.0010070906,0.2962962962962963,1.0,9.51901945343925e-05,6645.4727
-49.6,1000,0.004734140631324345,-0.35781802769632226,0.5245438973730407,0.009830182176758922,0.03955338291102089,-2.0243008136749268,2.5260868072509766,0.38973541232362063,2.842170943040401e-17,-2.5191658147146603,3.3917593225363287,0.9998060797253752,-0.11668965820988182,-0.2216874429313581,-0.0050000000000000044,0.004036187456936009,260,-55.682564,3.7600598,0.0014995594,0.19753086419753085,1.0,5.385759611794751e-05,26065.59
-48.5,1000,0.015383284559770134,-0.26150821053446777,0.5959921758499267,0.009262519405941938,0.038703692431998206,-2.2412214279174805,2.3165769577026367,0.3831798784358595,0.0,-3.3317245276965264,6.367962768103711,0.9998510264352582,-0.11519671209023136,-0.2216874429313581,-0.0050000000000000044,0.0039214031328732865,280,-92.676765,3.7820911,0.0019236978,0.19753086419753085,1.0,0.00013541480815150157,88699.266
-48.55,1000,0.013860898672641765,-0.40154775760576006,0.714215568114843,0.009503455860811394,0.04747215195326135,-2.4502949714660645,2.681447744369507,0.3824252340931309,2.842170943040401e-17,-3.7799927628528516,5.610592290086581,0.9997991376327426,-0.11634216028322704,-0.2216874429313581,-0.0050000000000000044,0.0038977325465196122,300,-133.21558,3.7657955,0.0024980535,0.19753086419753085,1.0,8.064051683411268e-05,203644.44
-49.15,1000,0.017488367242865146,-0.45660508810559863,0.7503349040629531,0.010945564847811349,0.05034494975476991,-2.489502429962158,2.2527339458465576,0.3773747090650764,-1.4210854715202004e-17,-3.2168382719468216,3.761967870931502,0.9998434611603481,-0.1157818272535471,-0.2216874429313581,-0.0050000000000000044,0.003930991502026944,320,-147.53006,3.745495,0.006057043,0.2962962962962963,1.0,7.427573968313658e-05,200093.7
-49.7,1000,0.013326940009694395,-0.39349874592451345,0.7233864178064513,0.010618561583709373,0.040802919566907805,-1.9271320104599,2.21207857131958,0.37971449305719546,1.4210854715202004e-17,-3.199433973503318,3.254722500150825,0.9997936788968743,-0.11719883612764369,-0.2216874429313581,-0.0050000000000000044,0.004012688350341008,340,-242.81078,3.7398064,0.0034577628,0.2962962962962963,1.0,4.48388311089336e-05,707569.25
