_lr_multiplier,_MeanReward,_mean_act,_Episode,_max_adv,Beta,NewPolicyLoss,_mean_obs,_max_obs,BaselineLoss,_max_discrew,_min_obs,_std_obs,CriticLoss,_std_discrew,_std_adv,PolicyEntropy,KL,_mean_adv,_max_act,_min_discrew,_std_act,_min_act,_min_adv,Steps,_mean_discrew
1.0,-49.95,0.018567710342467764,20,2.720359907718287,1.5,-0.23305166,0.009708692235538462,1.0945617586215266,0.0021121793229124746,-0.0050000000000000044,-0.7617754355586199,0.014086302694649203,0.12593064,0.004062170306117802,0.9999813058119665,3.6898053,0.01222367,-4.263256414560601e-17,1.9351612329483032,-0.2216874429313581,0.3741131444982966,-2.7389607429504395,-3.1124761849388034,1000,-0.11764467017677097
1.0,-50.0,0.0347987780039548,40,3.365312682411562,2.25,-0.20993374,0.013286480680556604,0.4227600064406793,0.0021884513900309465,-0.0050000000000000044,-0.6156688524542391,0.011555776282622809,1.1826882,0.004069059578502995,0.9999705290933331,3.6917212,0.009159529,4.796163466380676e-17,2.6124324798583984,-0.2216874429313581,0.400590306895917,-2.255176067352295,-3.013017437560351,1000,-0.11768397713319553
1.0,-49.6,0.038073754502343946,60,3.9415510273211303,2.25,-0.23451298,0.005122889283499549,0.405123920279686,0.0015862833921002238,-0.0050000000000000044,-0.4957688854692777,0.011557793975639243,0.6321185,0.004017095078985595,0.9999518085082042,3.7032328,0.004537001,3.1974423109204506e-17,2.3239970207214355,-0.2216874429313581,0.38521412677399,-2.432792901992798,-2.5654839775701834,1000,-0.11724823629371485
1.0,-49.75,0.07289863497018814,80,3.5046403724132578,2.25,-0.2687681,0.006722999194254203,0.5281299404680766,0.0009352919955942054,-0.0050000000000000044,-0.404925370915829,0.01090078031401483,0.63718385,0.004021363217698542,0.9999431589895525,3.7208881,0.0054461774,-3.552713678800501e-17,2.243377685546875,-0.2216874429313581,0.38531721602212654,-2.169011116027832,-2.4235902940053125,1000,-0.11726346879586691
1.0,-49.85,0.0508022969137528,100,3.5074667369035324,2.25,-0.26362428,0.0014205590362937912,0.6248205454853903,0.0005112231376087893,-0.0050000000000000044,-0.4202063718714026,0.012622635269214756,0.7824868,0.004055605332774562,0.9999282211121647,3.7260456,0.004790468,5.684341886080802e-17,2.1047937870025635,-0.2216874429313581,0.3997881573284047,-2.322598695755005,-2.0366724582799782,1000,-0.11760989455239595
1.0,-49.05,0.0347688999697566,120,3.4354294336364473,2.25,-0.21724424,0.006184628688364884,0.6070355372845798,0.00031901851743904974,0.0,-0.5683407454533119,0.014953849693708639,0.6416213,0.003964025513921872,0.9999038445389908,3.7246323,0.0043496783,1.4210854715202004e-17,2.3463211059570312,-0.2216874429313581,0.4122186563747467,-2.081674575805664,-3.0928456898119894,1000,-0.1157667797153197
1.0,-49.45,0.01800971407443285,140,3.6377885869132656,2.25,-0.20587257,-0.010503446538183085,0.8131736555774581,0.00022279333915680536,-0.0050000000000000044,-0.9635569174384133,0.015092184158532966,0.6779551,0.003991991084047743,0.9998866629069598,3.7202733,0.002931606,7.105427357601002e-18,2.7481689453125,-0.2216874429313581,0.4091446994085435,-2.651705026626587,-4.11083918021946,1000,-0.11606377428340638
1.0,-49.8,0.023353121576248668,160,3.6337082061562445,2.25,-0.19909267,-0.005471001311006697,0.6658662620464247,8.225114884624128e-05,-0.0050000000000000044,-0.7383111038081345,0.016399852334822,0.67560357,0.004053126353879538,0.9998304905772935,3.7311466,0.0042492277,-2.1316282072803006e-17,2.5037953853607178,-0.2216874429313581,0.39930866907756263,-2.097717523574829,-4.142502520018824,1000,-0.11758630712761092
1.0,-48.9,-0.051330442346981725,180,4.7409755799106765,2.25,-0.19801828,-0.021176167047845296,0.6485223596224174,0.00010002154242718728,-0.0050000000000000044,-0.7879867278397105,0.015435991587577821,0.69030714,0.0039115454311030315,0.9998266268154303,3.7325664,0.0027637416,-2.842170943040401e-17,2.0741922855377197,-0.2216874429313581,0.40270973273081273,-2.2175509929656982,-3.2189705245138276,1000,-0.1162689088854325
1.0,-49.55,-0.02417112287436612,200,3.3846174063494137,2.25,-0.19861908,-0.01883900716714787,0.5762409858153665,8.886499469961163e-05,-0.004950125000000005,-0.6486255188121725,0.013524903752880041,0.7090801,0.004056603044781447,0.9997771157759167,3.7433374,0.0041747442,-2.1316282072803006e-17,2.1530423164367676,-0.2216874429313581,0.4038727890275574,-2.1706955432891846,-3.194162770350007,1000,-0.11626675981486258
