_min_act,_max_obs,KL,ValFuncLoss,_mean_obs,_std_obs,_lr_multiplier,_max_act,_mean_adv,_min_adv,PolicyEntropy,_min_discrew,Beta,PolicyLoss,Steps,ExplainedVarNew,_std_discrew,_min_obs,_Episode,_std_act,ExplainedVarOld,_max_adv,_MeanReward,_std_adv,_max_discrew,_mean_act,_mean_discrew
-2.4961400032043457,0.6077003935909941,0.0056248903,0.003705494654971526,-0.06889187329709826,0.014221410902687817,1.0,2.2591397762298584,-2.842170943040401e-17,-2.741905944995757,3.6599529,-0.2216874429313581,1.0,-0.014443645,1000,0.06253821312823926,0.003898455506408051,-0.8830935198729988,20,0.375191575688786,-0.4375123700856314,2.712051508316228,-48.7,0.9999579634292548,-0.0050000000000000044,-0.0089883150459209,-0.11532445111694724
-2.1633317470550537,0.514255922157311,0.0012302158,0.003371458551857741,-0.014826600114944714,0.012234758091274308,1.0,2.385775566101074,3.907985046680551e-17,-1.8491968961327727,3.6510696,-0.2216874429313581,0.6666666666666666,-0.01217142,1000,0.17376070909303676,0.004042633821034218,-0.4970066580731176,40,0.37286982545558606,-0.09143375272279397,2.954123829548626,-49.75,0.999962907511638,-0.0050000000000000044,-0.0018086657638195901,-0.1175183841544816
-2.0338406562805176,0.49979271672353875,0.00066476344,0.0016222966753748956,-0.007321027598907079,0.011193886140429182,1.0,2.1819396018981934,-1.7763568394002505e-17,-1.8463715989067013,3.6477497,-0.2216874429313581,0.4444444444444444,-0.008040812,1000,0.5802811416009358,0.003839766092241302,-0.47749358841394474,60,0.37056216686365606,0.14052729338283143,3.0026427059263345,-48.2,0.9999611524427371,-0.0050000000000000044,0.004758085604611551,-0.11531185667648433
-2.6888668537139893,0.5137596964595901,0.0010631433,0.00110940558875353,0.0027059939166441532,0.011470861062606558,1.0,2.0758326053619385,3.552713678800501e-18,-1.9414423727155798,3.645831,-0.2216874429313581,0.2962962962962963,-0.009785764,1000,0.7250786530563318,0.0040343034679382935,-0.5312712439084628,80,0.3752896647164259,0.45448480007939573,3.2056190154874935,-49.6,0.9999520073270822,-0.0050000000000000044,0.008798435847624205,-0.11643145684072621
-2.1887848377227783,0.4368106598197865,0.0025913299,0.0007339746804502084,-0.000835386719109115,0.013759748146996084,1.0,2.3761556148529053,0.0,-2.512409965498471,3.6456304,-0.2216874429313581,0.2962962962962963,-0.012217591,1000,0.829395379054738,0.004057225329590265,-0.7180889877852621,100,0.363762047208321,0.48538051943408955,3.0251234503411024,-49.95,0.9999492288811834,-0.0050000000000000044,0.015471628246159526,-0.11755303012874078
-2.6360673904418945,0.4932289068834105,0.0023583628,0.0003601409873423102,-0.005976530010913843,0.010700546160287431,1.0,2.231353998184204,2.4868995751603507e-17,-2.782351665071388,3.6411867,-0.2216874429313581,0.2962962962962963,-0.01164833,1000,0.9103476291180851,0.003923548463625471,-0.687260271939643,120,0.3645656654943884,0.6680534438870989,3.6584253094008403,-48.5,0.9999392356401826,-0.0050000000000000044,-0.0073185853770701215,-0.11460102156558381
-1.943738579750061,0.5552527864946146,0.0028480245,0.0001626040593275012,-0.0044757986042639215,0.011390548509249348,1.0,1.9147366285324097,0.0,-2.3804069343319574,3.6370692,-0.2216874429313581,0.2962962962962963,-0.01258578,1000,0.9593857466729961,0.003972738847405247,-0.4241671233155748,140,0.35668097760757295,0.82607104199467,3.508432590059628,-49.2,0.9999114045061542,0.0,-0.004812435763160466,-0.11560182947185386
-2.303828239440918,0.7328124453757371,0.0055877236,0.00014144134339331505,-0.013349515465354697,0.014463656773457664,1.0,2.1460251808166504,0.0,-2.688834254855375,3.6345863,-0.2216874429313581,0.2962962962962963,-0.015002832,1000,0.9678426467821684,0.00402144976641878,-0.7996293533226626,160,0.375066542919435,0.8646811411804731,4.323860979884034,-48.85,0.9998946839900702,0.0,-0.01799829337000847,-0.11564149177961752
-2.0645065307617188,0.5742720731667582,0.0072849216,7.039124784751982e-05,-0.005842330504319775,0.013826813110016354,1.0,2.129246234893799,-3.552713678800501e-17,-3.366524613979692,3.649571,-0.2216874429313581,0.4444444444444444,-0.018693319,1000,0.9835741228119491,0.004069059578502995,-0.561017881619792,180,0.3559178781492213,0.9257314522001211,4.927041845134258,-50.0,0.9998622280797909,-0.0050000000000000044,-0.005189671802916564,-0.11768397713319553
-2.5721118450164795,0.5805088918662407,0.0035360015,5.4621841531597354e-05,0.008318895349829146,0.012552318937536113,1.0,2.1080987453460693,-3.1974423109204506e-17,-3.6248088087934893,3.6690817,-0.2216874429313581,0.4444444444444444,-0.015479827,1000,0.9866325899625628,0.00405569329317755,-0.4982662209609461,200,0.36527669419428255,0.9428350133161185,3.944448491166557,-49.75,0.9998436581440551,-0.0050000000000000044,0.026329026886611245,-0.1176094752619424
-2.480851411819458,0.7110744477920361,0.00414844,8.403171102181721e-05,0.0067185535375509494,0.012028282380514782,1.0,2.223416566848755,2.842170943040401e-17,-3.539617923373891,3.6650214,-0.2216874429313581,0.4444444444444444,-0.017679658,1000,0.9795158784551931,0.00393951017392093,-0.5268324426307381,220,0.36064466761357217,0.9521099681023436,4.966259863212515,-49.05,0.9998299848921702,-0.0050000000000000044,0.05290919376706006,-0.1161177653428583
-2.1715753078460693,0.8467583235376183,0.0031861535,0.00015100455090680403,0.013412057510169786,0.014217538008591848,1.0,2.143826961517334,1.4210854715202004e-17,-2.2750391232761538,3.682158,-0.2216874429313581,0.4444444444444444,-0.015859026,1000,0.963430951972367,0.004045518447974388,-0.4056450610688364,240,0.3765160229132436,0.9069615348727128,5.243443802944825,-48.7,0.9998663220099826,-0.0050000000000000044,0.0659363363198936,-0.11440729791350526
-2.385101556777954,0.4831417679993132,0.0043622027,6.954162098959227e-05,0.010154287612250896,0.015143675551079405,1.0,2.419764518737793,1.4210854715202004e-17,-2.9765921006484723,3.6869526,-0.2216874429313581,0.4444444444444444,-0.015444972,1000,0.9828267148414099,0.004029739066627254,-0.5381095081271432,260,0.36641692427283945,0.9673728330651405,3.4495398433722197,-49.4,0.9997946003632516,-0.0050000000000000044,0.064855339693313,-0.11558164304657163
