NewPolicyLoss,_std_act,_min_obs,_max_obs,PolicyEntropy,_min_adv,_max_act,_min_discrew,KL,_mean_act,_mean_obs,_max_adv,_MeanReward,_std_obs,_mean_adv,_max_discrew,_mean_discrew,_Episode,_min_act,BaselineLoss,_std_adv,Steps,CriticLoss,Beta,_lr_multiplier,_std_discrew
-0.51826906,0.36120009754353816,-0.8871065917600415,0.8899974930083095,3.6921554,-2.0960995956297803,2.1876516342163086,-0.2216874429313581,0.008797375,-0.018415955190546812,0.021913533311707218,3.5539243284861137,-49.85,0.013676382000073989,-3.1263880373444406e-16,-0.0050000000000000044,-0.11737212106383478,20,-2.28195858001709,0.0031035959967759793,0.9999781158513555,1000,0.6109789,1.5,1.0,0.00403738714619784
-0.4404052,0.3647495171041259,-0.32289829592955344,0.6452656232135593,3.7019243,-1.68865704619768,2.273249626159668,-0.2216874429313581,0.00461114,0.008818178767163773,0.007336699917387047,2.7703001960020286,-49.9,0.009939344025591412,-7.105427357601002e-18,-0.0050000000000000044,-0.11740906905567774,40,-2.2785983085632324,0.002569948628611817,0.999967582626326,1000,2.509769,1.5,1.0,0.004047293114031844
-0.38131976,0.3833777038234645,-0.6107862287231384,0.4400077800615358,3.704192,-1.838290633302216,2.5542850494384766,-0.2216874429313581,0.009740295,-0.009200529959169217,0.019234907485700205,3.073773361147822,-49.0,0.011054314785904708,1.4210854715202004e-17,-0.0050000000000000044,-0.11634849825179984,60,-2.1511573791503906,0.0012604831402370377,0.999958147272396,1000,1.6816931,2.25,1.0,0.003913904641071392
-0.2874963,0.36471078216075176,-0.5118700663481185,0.6043085068235846,3.7105339,-1.6069126942035286,2.214534282684326,-0.2216874429313581,0.003265504,-0.0012138696858601178,0.008575192645258212,2.553009411489607,-50.0,0.011447820378569066,3.1974423109204506e-17,-0.0050000000000000044,-0.11768397713319553,80,-2.1405234336853027,0.0003472695222980029,0.9999375174406295,1000,0.9409185,2.25,1.0,0.004069059578502995
-0.2293834,0.4002255283269391,-0.42355521248482075,0.4912730000674646,3.6886096,-2.3214680428824908,2.3298797607421875,-0.2216874429313581,0.003638185,0.004712597300473135,0.007753825522190724,2.904841163319884,-47.0,0.008079455591657524,-2.842170943040401e-17,-0.0050000000000000044,-0.11167389273937216,100,-2.239455461502075,0.0003624195402185989,0.9999024432406632,1000,0.8060396,2.25,1.0,0.0038283297253813337
-0.21049063,0.3764772726314566,-0.47500168670820725,0.6095611640240773,3.667428,-3.39242351230589,2.2294907569885254,-0.2216874429313581,0.0033731959,0.014055584381334484,0.009242219017163145,3.6793303865882963,-49.6,0.010958097770034767,-4.9737991503207014e-17,-0.0050000000000000044,-0.11714302579399055,120,-2.653970956802368,4.80606230813391e-05,0.9997490350090279,1000,0.7743805,2.25,1.0,0.004020680546458389
-0.20674951,0.383109305461531,-0.4785574429693223,0.8909940945068127,3.663166,-4.414580485631664,2.1149184703826904,-0.2216874429313581,0.0016392791,-0.01935736537759658,0.008840669604985373,3.1633402392346426,-49.55,0.01402894397508937,5.684341886080802e-17,-0.0050000000000000044,-0.11687673229872596,140,-2.3179233074188232,3.262089729243767e-05,0.9997521069526759,1000,0.77741235,2.25,1.0,0.004005340842196363
-0.20343216,0.38960027405527514,-0.5053202381449928,0.776730132909337,3.6634896,-2.726222716038089,2.1185007095336914,-0.2216874429313581,0.0033651758,0.001561339370207861,0.007311787870879077,5.658755733172095,-48.65,0.011261716349544912,-2.842170943040401e-17,-0.0050000000000000044,-0.11554078439600239,160,-2.194101333618164,5.711093410039815e-05,0.9997017146236784,1000,0.76711255,2.25,1.0,0.0038713992542098764
-0.20125957,0.3643488007123729,-0.5281605889238833,0.5068256647584536,3.6587765,-1.218232634893489,2.484492540359497,-0.2216874429313581,0.0026667335,-0.0006505640005925671,0.008322046479372416,5.6763919079374245,-48.4,0.01009895823398312,-2.842170943040401e-17,-0.004975000000000005,-0.11371800105152423,180,-2.1431171894073486,0.00019718853632358032,0.9998143897500072,1000,0.75871927,2.25,1.0,0.003995927732602638
-0.20024878,0.37483943111184265,-0.4853322399008269,0.6189609700074764,3.634602,-1.6701304815839337,1.9934004545211792,-0.2216874429313581,0.002848181,0.01774080359446816,-0.0007519872215852296,4.300299074787817,-48.85,0.011166804408349511,2.1316282072803006e-17,-0.0050000000000000044,-0.11492979606367172,200,-2.0737075805664062,6.576512193095741e-05,0.9997161741272662,1000,0.75642955,2.25,1.0,0.003923940188964791
