_lr_multiplier,_mean_obs,_std_obs,NewPolicyLoss,_std_discrew,_min_act,_Episode,_min_discrew,_mean_adv,_max_discrew,_min_adv,_std_adv,KL,_std_act,_min_obs,_max_obs,BaselineLoss,_MeanReward,_mean_act,_mean_discrew,Steps,Beta,CriticLoss,_max_adv,_max_act,PolicyEntropy
1.0,-0.06999242643636641,0.01099453147121343,-0.25693133,0.0039792296932381205,-2.604715347290039,20,-0.2216874429313581,2.913225216616411e-16,-0.0050000000000000044,-2.9861786005160207,0.9999713558128308,0.00744826,0.3652080800601313,-0.7982137877174212,0.36325583293394875,0.006793488547909364,-48.55,-0.115199804516742,-0.11426180183802877,1000,1.5,0.12801121,2.7640609884626235,2.1130805015563965,3.6754723
1.0,0.0315141309947501,0.009119861002746312,-0.016698794,0.003908064779689229,-1.995833396911621,40,-0.2216874429313581,5.684341886080802e-17,-0.0050000000000000044,-1.68363258246103,0.9999648609036366,0.0073397416,0.3713457324402324,-0.3022431800484099,0.6126753173108721,0.0031341697392307695,-48.95,0.0670581915853545,-0.1160536294171047,1000,2.25,0.32703346,3.0487531441938023,2.169936180114746,3.6707368
1.0,-0.0022107659034047915,0.012401008065151767,0.04625395,0.004000832234836622,-2.4374725818634033,60,-0.2216874429313581,-3.552713678800501e-17,-0.0050000000000000044,-1.6667602597884177,0.9999588441848373,0.0059076147,0.3921669768183941,-0.658869219439,0.581605263724179,0.002168003718503024,-49.65,-0.027687291770038428,-0.11694064456377053,1000,2.25,0.2548974,2.910481254120405,2.2333905696868896,3.6559608
1.0,-0.008862506990256263,0.012254197598377436,-0.15639012,0.004009910434245481,-2.438100576400757,80,-0.2216874429313581,3.552713678800501e-17,-0.0050000000000000044,-1.7008298549687322,0.9999573734508024,0.0058472566,0.38431709842805073,-0.9912781817562181,0.5771753187552738,0.0013722051224210588,-49.7,-0.03801991585688665,-0.11700790783990263,1000,2.25,0.6053279,2.689462749183105,2.2141470909118652,3.6584928
1.0,0.0016361387691598173,0.013834331076792808,-0.09942456,0.004069059578502995,-2.264692544937134,100,-0.2216874429313581,-2.4868995751603507e-17,-0.0050000000000000044,-1.5501204433859828,0.999941792502904,0.0050981063,0.38955346229514454,-0.7393503666833596,0.7215182279298938,0.0007156581533109541,-50.0,-0.009038746100326534,-0.11768397713319553,1000,2.25,0.09257169,2.8342843448448494,2.0657055377960205,3.6563091
1.0,0.005208628225469146,0.012479561168270994,-0.16728806,0.004024204779201898,-1.9333502054214478,120,-0.2216874429313581,-2.4868995751603507e-17,-0.0050000000000000044,-2.4688673656313864,0.9999207047846669,0.0032286716,0.3733666156408106,-0.5488360576361679,0.7096201551952057,0.00033469336103804576,-49.65,-0.013293373458553106,-0.11662645357223647,1000,2.25,0.39267167,3.0271736808233505,2.4952449798583984,3.6673346
1.0,0.01227901920017515,0.012657708033333699,-0.19778025,0.004003257650616954,-2.1690220832824707,140,-0.2216874429313581,-3.552713678800501e-17,-0.0050000000000000044,-2.5203436460307915,0.9998953085526118,0.0025528334,0.37652771829071635,-0.6019876010098304,0.5323392680380936,0.0001565708066534878,-49.6,-0.001615171763813123,-0.1166864399607318,1000,2.25,0.64981943,2.9827779919655364,2.12707257270813,3.6682158
1.0,0.004692025749413465,0.012757005528418075,-0.19948646,0.003954117752379878,-2.182748794555664,160,-0.2216874429313581,-7.105427357601002e-18,-0.0050000000000000044,-4.027940015412599,0.9998253129636235,0.0063628876,0.3892789000198048,-0.7131541086318444,0.7085766737645495,8.957205290945076e-05,-49.15,0.0024091402258491143,-0.11669097918827862,1000,3.375,0.6640275,3.0431183578094196,2.1300923824310303,3.6876435
1.0,0.015970104317299224,0.012382535550952267,-0.19821787,0.004010880387918935,-2.0665435791015625,180,-0.2216874429313581,-1.4210854715202004e-17,-0.0050000000000000044,-5.389057785727055,0.9997899009029387,0.0019196575,0.39120612630221907,-1.0404541812462493,0.7316049564760044,6.884919197477271e-05,-49.35,0.024769998236559333,-0.11731223803953676,1000,3.375,0.642099,4.417525442060959,2.262111186981201,3.697755
1.0,-0.0023226843740873104,0.01309150064031829,-0.19821967,0.003997991231543023,-2.1224708557128906,200,-0.2216874429313581,-7.105427357601002e-18,-0.0050000000000000044,-3.429677446961748,0.99979601546902,0.003062775,0.4027864094251118,-0.7778472729313513,0.7214577203421035,9.63223988534818e-05,-49.05,-0.027698510728776455,-0.11567384841706982,1000,3.375,0.63938636,3.723283168783486,2.049293041229248,3.7278376
