_std_act,_mean_discrew,_Episode,_min_discrew,_max_adv,_mean_obs,ValFuncLoss,ExplainedVarNew,Steps,_max_act,PolicyLoss,_min_act,ExplainedVarOld,_mean_act,PolicyEntropy,Beta,_min_obs,_min_adv,KL,_MeanReward,_mean_adv,_max_obs,_max_discrew,_std_obs,_std_discrew,_std_adv,_lr_multiplier
0.37051581717446785,-0.11762959839567366,20,-0.2216874429313581,4.244877021970314,0.04355165496507027,0.0030347231447583733,0.33429646911649746,1000,2.1087324619293213,-0.018065916,-2.1863160133361816,-0.6682405736128187,0.05502477713651024,3.6963131,1.5,-0.5492708594288216,-1.6521976392752538,0.011527419,-49.9,1.3500311979441903e-16,0.921418262239425,-0.0050000000000000044,0.014978134195891678,0.004059235972298326,0.9999580532883855,1.0
0.3899011040395419,-0.11569030059525658,40,-0.2216874429313581,3.537584661758228,-0.006895963042268011,0.0032506230346457227,0.2788270667780941,1000,1.910349726676941,-0.011323244,-2.4829599857330322,-1.0484978516113594,0.029443493395112454,3.7132344,1.5,-1.2832254213715155,-2.0728946840398956,0.005107818,-49.2,-2.842170943040401e-17,0.6823522837110108,-0.0050000000000000044,0.01783455129693589,0.004043865188588376,0.9999742055107321,1.0
0.39835446311088124,-0.11563233894685705,60,-0.2216874429313581,3.2302560561837024,-0.01124940554614449,0.0022403615808956625,0.42957943303281254,1000,2.3908612728118896,-0.008909397,-2.4672622680664062,0.18526857533487529,0.0012965670577250422,3.7279181,1.5,-1.0243403499214514,-1.7355230694452262,0.00531336,-48.7,-1.0658141036401503e-17,0.6757007226542575,-0.0050000000000000044,0.016398341947232543,0.0039222930236611,0.9999625805952835,1.0
0.3935791887904034,-0.11766412663382053,80,-0.2216874429313581,2.94144597724273,0.0003573159841757457,0.0014622578773365968,0.6426235340544972,1000,2.4021551609039307,-0.012782474,-2.2086920738220215,0.39270662526862055,0.03840541521622799,3.7345464,2.25,-0.5681862243278468,-1.6379104317499134,0.007803045,-49.95,-1.4210854715202004e-17,0.5023826653468524,-0.0050000000000000044,0.012992835686505796,0.0040652633286863945,0.9999555642563042,1.0
0.4149496090518313,-0.11655418692091146,100,-0.2216874429313581,3.5202784889996583,0.003125958056100583,0.0004917815139043784,0.8754038746102806,1000,2.137458086013794,-0.005098267,-2.2373239994049072,0.6558182906024934,0.03335460998129565,3.7291179,2.25,-0.6135479484649684,-1.9219634959192882,0.001861342,-49.2,2.1316282072803006e-17,0.6988889090890777,-0.0050000000000000044,0.014545677238875912,0.003936159413083885,0.9999409958419728,1.0
0.39458006634731807,-0.11753645291129428,120,-0.2216874429313581,3.067424521518348,2.8275581658703515e-05,0.0002586561780611007,0.9415001094478621,1000,2.626953363418579,-0.0059125815,-2.15801739692688,0.8090780027942973,0.03374028006149456,3.7416446,2.25,-0.7093255392618342,-1.8254792238024833,0.0031279763,-49.8,0.0,0.4034342315566956,-0.0050000000000000044,0.011242459263260904,0.004044916639794408,0.9999259933525475,1.0
0.40396857844636597,-0.1175447496375674,140,-0.2216874429313581,4.0665370280720765,-0.001693777028693167,0.00011845720116996812,0.9716962964419621,1000,2.4548280239105225,-0.011567794,-2.697443723678589,0.9313495196979235,0.04717992227169452,3.7623374,2.25,-0.737152723872045,-4.157768454183693,0.004479522,-49.45,-7.105427357601002e-18,0.4101260764492873,-0.0050000000000000044,0.013843077990467263,0.004043512112738313,0.9998629188281163,1.0
0.40815134507998235,-0.11737026049771578,160,-0.2216874429313581,4.489596656655191,0.011503594438664706,5.572103353379859e-05,0.9863570069403598,1000,2.2746896743774414,-0.010502491,-2.3230135440826416,0.9720665047619044,0.06779784159502014,3.7749681,2.25,-0.5345150853812739,-5.28969973626295,0.004664137,-49.5,0.0,0.8113455864930613,-0.0050000000000000044,0.013324283857918687,0.004019714310794734,0.9997868406192747,1.0
0.42236344542245224,-0.11705097906394518,180,-0.2216874429313581,6.648478710406866,0.0009466207752486197,4.177708543905957e-05,0.9894998236157854,1000,2.417537212371826,-0.006891411,-2.2581729888916016,0.983799116449502,0.0461920676814625,3.778797,2.25,-0.6115621118835098,-3.8414985077320067,0.0033470807,-49.1,1.4210854715202004e-17,0.5711771967632822,-0.0050000000000000044,0.01310385763481195,0.003972475912608213,0.9997161639823618,1.0
0.42348371914314664,-0.11765912663382054,200,-0.2216874429313581,3.2833652064211902,-0.010914063524388014,2.53464551939912e-05,0.9939811511442259,1000,2.4505114555358887,-0.00486158,-2.3989973068237305,0.990854001801453,0.02638539899047464,3.7741477,2.25,-0.850927879031206,-2.9975416119294236,0.002041202,-49.9,1.4210854715202004e-17,0.35193820982266827,-0.0050000000000000044,0.013667978068047976,0.004064297324267168,0.9996313129149871,1.0
0.40929932567321914,-0.11731943023256931,220,-0.2216874429313581,3.7414770535502413,-0.0037019224207392094,1.627112326672478e-05,0.9959878450527271,1000,2.2393639087677,-0.0072657196,-2.3802735805511475,0.9946414360461946,0.034324697733623906,3.7744675,2.25,-0.7013019567305858,-3.4675317850980623,0.0032473963,-49.85,3.552713678800501e-18,0.39518828420424024,-0.0050000000000000044,0.011884467182797013,0.004037907790248915,0.9995220781626215,1.0
0.4008200684880901,-0.11755410826027964,240,-0.2216874429313581,3.268645977210293,-0.005613406804074426,1.548122012268529e-05,0.9962084670000829,1000,2.51676344871521,-0.007745535,-2.549849271774292,0.9953115107243312,0.04370735579309985,3.7629063,2.25,-0.5705895590159419,-3.2638861771799714,0.002641893,-49.9,7.105427357601002e-18,0.4773824902389999,-0.0050000000000000044,0.014192482268019049,0.004050912686008118,0.9995068459423667,1.0
