_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,TotalLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-49.6,750,-0.16611039742138792,-2.0340302413923927,0.312817357348939,0.03164951726265818,-0.2369683168195188,-2.631964921951294,1.74899423122406,0.3749458839378559,-2.3211062701496604e-16,-2.4742627918136955,2.1828941570343776,0.9999877385709646,-0.11724579135624508,-0.2216874429313581,-0.0050000000000000044,0.004009404673540364,15,-0.24169673919211493,3.692875,0.007938138,1.5,1.0,0.005435859520026983,-0.024042155961470968,-2.3545750621795865
-47.86666666666667,750,0.023947520785383127,-0.26861510635864033,0.3464828908485597,0.008137158138249896,0.028787954962346703,-2.0085525512695312,2.1110196113586426,0.37685522526527476,4.7369515717340015e-17,-2.1509428242103907,3.752638671329812,0.9999715422739824,-0.11340105049798394,-0.2216874429313581,-0.0050000000000000044,0.0038502045650002687,30,0.03585168359671699,3.7028468,0.004697811,1.5,1.0,0.004284297246891704,-0.10353939617689867,-0.6841030510317374
-48.93333333333333,750,0.015301427361741234,-0.35703502633952494,0.48613890641174157,0.010522943097083196,0.008299455391786371,-1.9328384399414062,2.0414366722106934,0.38236843418031696,7.579122514774402e-17,-2.1484171761427358,2.8433379200074826,0.9999666509425111,-0.11628801380895869,-0.2216874429313581,-0.0050000000000000044,0.003906487642083419,45,0.08125572204928928,3.709449,0.008440792,2.25,1.0,0.0032021655446127515,0.21273657450154648,-0.14679995308333615
-49.46666666666667,750,0.021187685419193993,-0.4449926599124761,0.524810342321482,0.012851849368733445,0.04388184938890238,-2.5790348052978516,2.2684295177459717,0.40019646870860415,-4.7369515717340015e-17,-1.8790658415634287,2.7915984652734043,0.9999665402113606,-0.11624635981024944,-0.2216874429313581,-0.0050000000000000044,0.003986066613007439,60,0.03278630257670085,3.6936998,0.0024537493,2.25,1.0,0.002509420093713959,0.3707572794948778,-0.05404784479927893
-49.333333333333336,750,-0.0028455701600418703,-0.5244790847423235,0.5752933057367271,0.014377342440532766,-0.04175581164308824,-2.5581789016723633,2.032925605773926,0.38856049584118707,-1.4210854715202004e-17,-1.7020852093097956,2.5313419976625484,0.9999564189842616,-0.11697752295890686,-0.2216874429313581,-0.0050000000000000044,0.003975956279588742,75,-0.007738533019171821,3.694747,0.0040651504,2.25,1.0,0.001842321097118288,0.5406860735081344,0.38849507866593735
-48.8,750,0.004091733952419816,-0.5798276921433507,0.43432047059557977,0.013163410881833107,-0.010060452246262381,-2.608375310897827,2.3130176067352295,0.4020628838804261,-4.736951571734001e-18,-1.5922564474639167,3.0132417917098153,0.9999512978312517,-0.11563025033093983,-0.2216874429313581,-0.0050000000000000044,0.0038727378095605343,90,-0.04741765976884631,3.6900244,0.0036344135,2.25,1.0,0.001539478405179828,0.6047092486889862,0.4703557099092479
-50.0,750,0.009886306916391826,-0.6075611517161247,0.4893330343771586,0.014498563021612582,-0.00205413097795099,-2.4440181255340576,2.0621888637542725,0.3850913162232831,1.8947806286936004e-17,-1.4629750010855647,2.5403896395077585,0.9999506325748192,-0.11768397713319555,-0.2216874429313581,-0.0050000000000000044,0.004069059578502995,105,-0.051938004503462046,3.6818273,0.003910778,2.25,1.0,0.0013697245079867405,0.6652132894533098,0.5494505993995136
-49.93333333333333,750,-0.01660418952252282,-0.7964589895208709,0.30765643037319623,0.015360578621752781,-0.11562116715249916,-2.1131508350372314,2.1265132427215576,0.38682446729387215,3.552713678800501e-18,-1.5757086546476862,2.5982385612144343,0.9999386573320143,-0.11761879064048325,-0.2216874429313581,-0.0050000000000000044,0.004058161952305932,120,0.002451682081434462,3.683807,0.0025937469,2.25,1.0,0.0007439326726403005,0.8180097352353454,0.7026037934312499
-49.53333333333333,750,0.012962903830766294,-0.6195055872524637,0.42859675334170433,0.012426760585116374,-0.005810545908908049,-2.400923490524292,2.2938621044158936,0.38313580344671516,-4.736951571734001e-18,-2.6345566733492807,2.6962849941051052,0.9999363654798792,-0.1171422216084584,-0.2216874429313581,-0.0050000000000000044,0.0039947333431563335,135,-0.048251848229302306,3.6865854,0.0029575678,2.25,1.0,0.0007165178749733006,0.8236534887317504,0.7287787415615116
-47.06666666666667,750,0.015414013188468164,-0.6530206702606716,0.37934347169725086,0.012784931807952118,-0.01786573630478233,-2.211826801300049,2.5367958545684814,0.38515725883007634,-9.473903143468002e-18,-2.111836820774445,2.7120947334617065,0.9999235726409148,-0.11120387036278817,-0.2216874429313581,0.0,0.003994551768040387,150,-0.04254900933880276,3.692889,0.0042314483,2.25,1.0,0.0005624732238863605,0.8606305220983036,0.7891418234358977
-49.733333333333334,750,-0.007440244802843054,-0.9077286766187512,0.37235384471063043,0.012603623054146156,-0.05439961796556599,-2.0300168991088867,2.1347949504852295,0.38383140204630367,-3.789561257387201e-17,-1.6647367285862387,3.458125825786241,0.9999036739639763,-0.11753903234641237,-0.2216874429313581,-0.0050000000000000044,0.004044134258074565,165,-0.03795424937693278,3.6999452,0.0030992033,2.25,1.0,0.00037629193252218806,0.9178460997371043,0.8669732616316528
