_min_act,_std_act,_lr_multiplier,_mean_obs,_mean_act,_max_act,CriticLoss,_Episode,_min_discrew,_mean_discrew,_max_adv,_std_obs,_max_discrew,_max_obs,NewPolicyLoss,_MeanReward,_std_discrew,_min_adv,Beta,PolicyEntropy,_mean_adv,_min_obs,BaselineLoss,_std_adv,KL,Steps
-2.6140100955963135,0.3754842265708356,1.0,0.0324870670069002,-0.016177647250995505,2.168628215789795,0.05340518,20,-0.2216874429313581,-0.11725741411808417,3.249361929045629,0.014779771399965154,-0.0050000000000000044,0.5651525214625212,-0.12677434,-49.8,0.004025972797227959,-2.0224686746964293,1.5,3.6813774,4.192202140984591e-16,-0.8286393511478153,0.0036292003615032834,0.999971896189272,0.009675152,1000
-1.9646176099777222,0.36430947892234145,1.0,0.02206791999073573,0.03021934295151732,2.3473398685455322,0.6690949,40,-0.2216874429313581,-0.11643312702641449,3.3008813007687228,0.012794828690514294,-0.0050000000000000044,0.5832363496937861,-0.21240796,-49.05,0.0039636189416803035,-2.0073397142509832,2.25,3.6719518,-5.684341886080802e-17,-0.4695685048640451,0.0033091272076819626,0.9999635490803075,0.0063796607,1000
-2.3870415687561035,0.385453544281011,1.0,0.012011524070778214,0.020962977230665272,2.625950574874878,0.97359276,60,-0.2216874429313581,-0.1170817029767065,3.1193943591126287,0.013147405674798501,-0.0050000000000000044,0.6027711917924985,-0.29414886,-49.2,0.003999418743668313,-1.9760334521707865,2.25,3.680907,-3.552713678800501e-18,-0.4228031260438762,0.002411755961704471,0.9999639010673553,0.0033870274,1000
-2.5638787746429443,0.37908407463094346,1.0,0.005427955462623373,-0.0005882514361292124,2.1391944885253906,0.779234,80,-0.2216874429313581,-0.11635028842305252,2.6171466990879897,0.011759293741051452,-0.0050000000000000044,0.5449147196971414,-0.26061675,-49.35,0.00400122755498388,-1.7769532594635904,2.25,3.6840878,-1.4210854715202004e-17,-0.5278109138935598,0.0013827800347782971,0.9999567182207525,0.0044657,1000
-2.1808812618255615,0.38374030612633747,1.0,0.009029196768933196,0.018972516713198273,2.18979549407959,0.70835155,100,-0.2216874429313581,-0.11516842792231607,2.9286669022668974,0.01211830132272437,0.0,0.4804690735323683,-0.22307934,-48.7,0.003916962096803756,-1.734089119723125,2.25,3.6510336,-8.881784197001253e-18,-0.4770907895270339,0.0009482744665423835,0.9999474052443472,0.004848041,1000
-2.53969407081604,0.3856799585103333,1.0,0.022676618088304602,0.0338151489009615,2.0937135219573975,0.7124549,120,-0.2216874429313581,-0.11673270597722075,2.8666273231989203,0.011584838026187538,-0.0050000000000000044,0.5852672029622003,-0.20733944,-49.55,0.003980755160490429,-1.8079662144034696,2.25,3.6614509,0.0,-0.6556048116808932,0.00031509634245405286,0.9999263933983773,0.002735811,1000
-2.450472593307495,0.3773052747791825,1.0,0.008785037890092069,0.010379366195644252,1.890718936920166,0.7147575,140,-0.2216874429313581,-0.1154590488975774,2.77372309490665,0.014136208585508755,0.0,0.4762645588012033,-0.20160383,-48.9,0.003973187046677637,-2.1001604636700195,2.25,3.6666908,-1.0658141036401503e-17,-0.864178535064158,0.00014414376632894692,0.999886257776614,0.0027888687,1000
-2.2174618244171143,0.38753089136049484,1.0,0.013749105093415431,0.04142713918769732,2.2001962661743164,0.71977544,160,-0.2216874429313581,-0.11664680682585493,4.65055646136515,0.0140664692464386,-0.0050000000000000044,0.5983187775356809,-0.19971015,-49.35,0.003969351840641656,-3.5821051728796585,2.25,3.68612,1.4210854715202004e-17,-0.6117837389380818,0.00011525327230540682,0.99983728759911,0.0045122737,1000
-2.252044439315796,0.3896109458578316,1.0,0.009359948063926567,0.03860510949205491,2.3104166984558105,0.7250996,180,-0.2216874429313581,-0.11393819895122491,5.257922063420719,0.013844519860541343,0.0,0.5934271009282903,-0.19897361,-48.35,0.0038680629945237726,-2.935666693338613,2.25,3.678966,-2.6645352591003756e-17,-0.6894783553093141,9.148685084126447e-05,0.9997773477644717,0.004856006,1000
-2.1869747638702393,0.38095513596774117,1.0,-0.0013122267861647218,0.03377356535493163,2.2347588539123535,0.72541803,200,-0.2216874429313581,-0.11575521177089242,5.156141718157161,0.014185952808125799,-0.0050000000000000044,0.6139382432084136,-0.19758366,-48.7,0.003856397340415905,-3.4958128077032637,2.25,3.6576734,-8.881784197001253e-18,-0.564273905990854,6.953471383972345e-05,0.9997508900404339,0.0025047595,1000
-2.1277172565460205,0.3839796112096079,1.0,0.006850796516264174,0.031265687618695664,2.1608428955078125,0.7350162,220,-0.2216874429313581,-0.11258787682306064,4.1362745976600905,0.014151641897843901,-0.004925374375000005,0.6686720519770178,-0.1988654,-47.4,0.0036762298603030953,-2.308711670266574,2.25,3.6731472,0.0,-0.7825032585477686,0.00011643994294588022,0.9997905478478996,0.0026709521,1000
-2.347229242324829,0.3952661377994996,1.0,0.01611602024701925,0.02839440800494049,1.9336705207824707,0.7337977,240,-0.2216874429313581,-0.11278922721320168,4.009895932347911,0.015279806193203656,-0.004975000000000005,0.5833107890327487,-0.19791396,-48.05,0.0038828645245496266,-1.1070668306956888,2.25,3.6732683,-2.842170943040401e-17,-0.7552209282682141,0.000192387505623584,0.9998229575130524,0.0041543623,1000
-1.9874553680419922,0.3692315833291783,1.0,-0.010345149248233203,0.030797677408554592,2.530708074569702,0.73621714,260,-0.2216874429313581,-0.11189002992011952,5.013506970328647,0.010838971230483932,-0.0050000000000000044,0.437420097064996,-0.19773142,-46.65,0.003675009629795634,-2.3616328610952397,2.25,3.6493714,-2.4868995751603507e-17,-0.5346832083383436,0.00015481572684292015,0.9998242686103106,0.0036766147,1000
-1.9406049251556396,0.3793206494154873,1.0,0.0012771116597596447,0.02415512436936842,2.315426826477051,0.7378688,280,-0.2216874429313581,-0.1140434863123851,3.7438209461073466,0.011590576787329354,0.0,0.6661055542054347,-0.19757885,-48.3,0.003885402809492728,-1.5523093880321583,2.25,3.6301193,1.4210854715202004e-17,-0.5119032360107741,6.209454228112039e-05,0.9997270326253083,0.0033515473,1000
-2.357469081878662,0.38414821794004894,1.0,-0.004710237027856789,0.03508718979463447,2.515554904937744,0.719543,300,-0.2216874429313581,-0.11363692447229928,6.191698071932369,0.013390038125504447,0.0,0.5775787123266781,-0.19175392,-48.55,0.004039325424138434,-1.2282167920793399,1.5,3.6274695,-2.842170943040401e-17,-0.4486196566270301,0.00018318928752166286,0.9998040412787532,0.00089904835,1000
-2.0587339401245117,0.3765362761382985,1.0,-0.0200467408051932,0.024301829483825713,2.198798179626465,0.7413717,320,-0.2216874429313581,-0.1151337648444918,4.384657000508904,0.014648758820368755,-0.0050000000000000044,0.42876986054355376,-0.19719404,-48.75,0.0038747045858036474,-1.60201904392712,1.5,3.6300907,2.842170943040401e-17,-0.8078623145176996,7.953651443607843e-05,0.999757090176467,0.0025724634,1000
-2.0348637104034424,0.38441204910533655,1.0,0.005431265753363276,0.03795994884154061,2.065426826477051,0.73952305,340,-0.2216874429313581,-0.11238733610403875,3.539554962011117,0.015478754873156239,-0.0050000000000000044,0.42249374676912926,-0.19685115,-47.75,0.0038082095615433217,-1.8314786203932594,2.25,3.6394682,2.842170943040401e-17,-0.6210706326227423,7.116912992564755e-05,0.9997654940264765,0.008132374,1000
-2.1442997455596924,0.36451417072030745,1.0,-0.007925802342576074,0.030402504446101375,2.208681106567383,0.73071975,360,-0.2216874429313581,-0.1149607942793798,4.304034758669669,0.012824020437043813,0.0,0.5758466532930846,-0.19431295,-48.25,0.003868088426932101,-1.9188114004738857,2.25,3.63583,-1.4210854715202004e-17,-0.6403303572359138,7.797649720204817e-05,0.9997469173530174,0.003472743,1000
-2.0381197929382324,0.38367396404913157,1.0,0.00809263196979601,0.025060860290264827,2.1572201251983643,0.7394673,380,-0.2216874429313581,-0.11528742415464847,4.29834396098236,0.01190544153014433,0.0,0.6562595029414922,-0.19652812,-49.1,0.003951317085399065,-1.5071007049156395,2.25,3.6493876,2.842170943040401e-17,-0.6024439429758165,4.7319684838134266e-05,0.9996539551355924,0.0031671454,1000
-2.4930734634399414,0.3974192916922139,1.0,-0.0013026621477726966,0.021085337561555208,2.37028431892395,0.7387017,400,-0.2216874429313581,-0.11044445723531922,4.378645660898776,0.015927708302211015,0.0,0.568038009474902,-0.19634447,-47.25,0.0037987575218128003,-1.1366177300700007,2.25,3.6613529,-4.263256414560601e-17,-0.7677126205356742,0.00022983786082876563,0.999826375845961,0.0018309166,1000
-2.096513271331787,0.3742554154941807,1.0,0.009787822461433861,0.04350393910723505,2.07572340965271,0.7372451,420,-0.2216874429313581,-0.109008119935193,4.1612149582417395,0.013118446857372859,0.0,0.41415730667275696,-0.19608867,-47.05,0.003851222523330876,-1.5219892342601933,2.25,3.6605277,1.4210854715202004e-17,-0.6500937484545612,0.00023165219713616836,0.9998337825756876,0.0027016115,1000
-1.9208449125289917,0.38981522667476115,1.0,0.015629065967749958,0.03230627384246327,2.0946741104125977,0.7377441,440,-0.2216874429313581,-0.10234984143218515,4.457934701910355,0.012080134877933349,-0.0048762437656093794,0.5035266789236879,-0.1960223,-44.2,0.0034236165459706853,-1.5201821065559988,2.25,3.6557493,1.4210854715202004e-17,-0.7240152221256888,0.00027544104809981777,0.9998589957642311,0.0030639253,1000
-2.1888527870178223,0.38924848939829026,1.0,-0.006788901289163887,0.030988211890798992,2.1873300075531006,0.73802334,460,-0.2216874429313581,-0.1131228720608375,5.179857445079829,0.01203529664678222,0.0,0.41373403838123174,-0.19593608,-48.0,0.0039035045226102206,-1.3195780648053697,2.25,3.6515079,-1.4210854715202004e-17,-0.382899158720426,0.00021500824155793784,0.9998155691420548,0.004369036,1000
-2.5080935955047607,0.3756283583992074,1.0,-0.008109557895294037,0.010758327258517966,2.2825117111206055,0.7262191,480,-0.2216874429313581,-0.1068959801390437,4.02898399569596,0.011323892579196745,0.0,0.4066889930030551,-0.19253208,-45.65,0.003616760628606403,-1.4109547031604417,2.25,3.6356401,-1.4210854715202004e-17,-0.5356063540122337,0.00029472712827591626,0.999858504560131,0.0018142305,1000
-2.1467907428741455,0.3722824403664657,1.0,0.00015593620176189326,0.02607932405709289,2.4616527557373047,0.73664224,500,-0.2216874429313581,-0.0952717176711958,3.027199664228635,0.012985674496800997,0.0,0.38106761662876315,-0.19518282,-42.05,0.003369052968950873,-1.4201884933569238,2.25,3.628374,-5.684341886080802e-17,-0.6718664846181118,0.0006039440929033536,0.9998912101999615,0.0022620282,1000
-2.163362741470337,0.37839612029849845,1.0,-0.002920722762541875,0.025560508588328958,2.246199369430542,0.73725307,520,-0.2216874429313581,-0.09871091062068843,3.758182176987099,0.009681048212508071,0.0,0.3969003069169735,-0.19546938,-41.5,0.00318566227006552,-1.8146581257552354,2.25,3.6189818,4.263256414560601e-17,-0.42882297664305763,0.00042354582589828395,0.9998794684160793,0.0027193357,1000
-1.8806164264678955,0.38479508239340265,1.0,0.008651862071315498,0.027828336147416848,2.464205741882324,0.73254865,540,-0.2216874429313581,-0.09606951148721544,3.7392925918631272,0.01193926140161656,0.0,0.4252941811608474,-0.19440882,-42.35,0.0033725550352586243,-1.9335701962036975,2.25,3.616813,6.750155989720952e-17,-0.5402126833487116,0.00045326492648520083,0.9998886621012665,0.0031053873,1000
-2.5874276161193848,0.3855670167648584,1.0,-0.006685909665953056,0.011608040776802227,2.1131227016448975,0.73430717,560,-0.2216874429313581,-0.09501493847599383,3.2392520263879647,0.009753983978960703,0.0,0.4784481857920988,-0.19502987,-40.95,0.0032475636705584753,-1.547626080887858,2.25,3.6159263,-4.263256414560601e-17,-0.3952247143838839,0.000658999368173882,0.9998959174534989,0.0030384138,1000
-1.8570990562438965,0.38362024312807397,1.0,-0.0017761643036092755,0.008483281732653268,2.184842109680176,0.7329211,580,-0.21364652968686731,-0.0869082718151182,3.990214111330011,0.009278074231244132,0.0,0.3787927440802111,-0.19457296,-38.75,0.003108138033959732,-1.7895244028438262,2.25,3.6259546,2.842170943040401e-17,-0.39294067025733354,0.0004630930188796373,0.9998872245641597,0.0034175299,1000
-2.1748745441436768,0.3850180504596894,1.0,-0.02180372941911852,-0.007318383005505893,2.3435163497924805,0.7317961,600,-0.2174919998795052,-0.07949148340800022,3.6930269423257602,0.011035920949240576,0.0,0.3160748146080661,-0.19461128,-34.75,0.002434164661543629,-2.014037152193711,2.25,3.6127172,-1.4210854715202004e-17,-0.3680595173707015,0.0006454363163075757,0.9999085846001445,0.004114931,1000
-2.308387279510498,0.4010779503843317,1.0,-0.01995893009515398,0.006037647289340384,2.375553846359253,0.7338046,620,-0.2216874429313581,-0.0824058886987812,2.727335729753253,0.011406810054104918,0.0,0.40677040313851687,-0.1948156,-36.45,0.002666353749456637,-1.9333770369245797,2.25,3.5890684,-2.842170943040401e-17,-0.43238535916195786,0.0007149263021772412,0.9999078336036228,0.0033205724,1000
-2.487502098083496,0.3796421422754735,1.0,-0.0014160104126691151,0.019666252030117903,2.2439823150634766,0.72194684,640,-0.20474832056059408,-0.07807345089558843,2.895872953060573,0.012580225175177982,0.0,0.3434868875618343,-0.19191074,-34.3,0.0023056243653926407,-2.152937766887327,2.25,3.5866752,-3.552713678800501e-17,-0.3984564390066583,0.0007228471829669249,0.9999015094355358,0.0040574814,1000
-2.3379294872283936,0.3979603191985719,1.0,0.006822720051510525,0.01736591278319247,2.3796873092651367,0.717325,660,-0.20256809021689023,-0.07419690903643604,2.485053869794399,0.011597966371516144,0.0,0.4529052380332481,-0.18973814,-33.95,0.0023283845290449755,-2.611351853421509,2.25,3.5677674,-6.750155989720952e-17,-0.36659480700352615,0.0005236319565625039,0.9998944466398714,0.0030593774,1000
-2.3091373443603516,0.3818464624120099,1.0,-0.003321577847005701,0.017869705607648938,2.3455893993377686,0.7230596,680,-0.17971674766217224,-0.062261955635085055,2.761185747094899,0.011956632951494978,0.0,0.3276200711631688,-0.19140853,-29.45,0.0019081809904047957,-2.605869594806554,2.25,3.559929,-2.842170943040401e-17,-0.3790827025685667,0.0005631656639190628,0.9998876383722961,0.00473045,1000
-2.1116995811462402,0.3913815124747564,1.0,0.0071840333533891515,0.027477453724073713,2.3891689777374268,0.7305094,700,-0.19635114182556165,-0.06527112038929626,3.7033448283715833,0.010260416662616617,0.0,0.3386675323274132,-0.19394769,-29.9,0.001894111423807848,-2.3757135997795196,3.375,3.531643,-1.4210854715202004e-17,-0.309913522879195,0.0004805838708891808,0.9998931789463081,0.0063663293,1000
-2.176950216293335,0.3967157156732287,1.0,-0.002699410764164115,0.00469782223040238,2.0985474586486816,0.72778666,720,-0.20075952690194324,-0.06138655834390896,2.4920831015248157,0.009735902693176294,0.0,0.3742357205592123,-0.19349612,-28.75,0.0018382072737886475,-3.1563195924165384,3.375,3.5128407,-2.842170943040401e-17,-0.3480896195031149,0.000571143530471745,0.9998925739011559,0.003249367,1000
