_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,TotalLoss,PolicyEntropy,KL,Beta,_lr_multiplier
-49.733333333333334,750,-0.04759641246067997,-0.9501148746066486,0.5145284395365702,0.013212963584481527,0.01921289046675277,-1.9791916608810425,2.296248197555542,0.3755663102266781,1.1368683772161603e-16,-1.7624062028549417,2.8684666663405523,0.9999742595016019,-0.11658637740153739,-0.2216874429313581,0.0,0.004076468525954225,15,-0.26311244961802166,3.6762772,0.010481235,1.5,1.0
-49.733333333333334,750,-0.009581125093238418,-0.6020432908691359,0.3878106138050277,0.014879314837531106,-0.004299292038272446,-2.8113276958465576,2.1874401569366455,0.38603106617525673,1.8947806286936004e-17,-1.6900707937640276,3.146117138420079,0.9999752766947225,-0.1173548430667749,-0.2216874429313581,-0.0050000000000000044,0.0040210081541112224,30,0.25330184935145905,3.6774483,0.0054018362,1.5,1.0
-49.8,750,0.011538673344152948,-0.48684593977417023,0.5663758403536959,0.012869578321918094,0.06576987373021742,-2.1429526805877686,2.2109832763671875,0.3729125658992797,-1.8947806286936004e-17,-1.9435716779586565,2.9037319620773974,0.9999627231187788,-0.11736370492049544,-0.2216874429313581,-0.0050000000000000044,0.004025952077903688,45,0.027944941511366103,3.6700106,0.009086131,2.25,1.0
-49.86666666666667,750,0.007474981713767818,-0.5569675177050056,0.6827797335582911,0.015735517411598492,0.05081197827480113,-2.280426502227783,2.1587038040161133,0.40696741725417357,0.0,-1.5967364669258612,3.0013280734281134,0.9999535391059429,-0.11752202713292112,-0.2216874429313581,-0.0050000000000000044,0.004044399065664613,60,-0.29344091414557566,3.6539438,0.0043788916,2.25,1.0
-49.266666666666666,750,-0.008301433179128497,-0.6096160988826096,0.6073877936197639,0.014102507599138213,0.007135329762202066,-2.187406063079834,2.2683286666870117,0.40953062786881445,1.4210854715202004e-17,-1.6765918561397455,2.9959050608599074,0.999944796589566,-0.11657465111971846,-0.2216874429313581,-0.0050000000000000044,0.003954291611118441,75,-0.34197021484544543,3.645916,0.0058461083,2.25,1.0
-49.6,750,-0.009998765393481622,-0.7408745408803374,0.6680590935191189,0.019370899553818186,-0.0104176170087109,-2.3678789138793945,1.9902880191802979,0.42607128101269026,-3.789561257387201e-17,-2.5593387450234504,2.8941996649501927,0.9999373686223055,-0.11677762107332296,-0.2216874429313581,-0.0050000000000000044,0.0039911565581609776,90,-0.3606925964423286,3.654561,0.005765596,2.25,1.0
-49.86666666666667,750,-0.0007942934969677774,-0.6442655896426461,0.5794516259711198,0.015061193774673534,-0.017560314713666838,-2.3360822200775146,2.4891157150268555,0.4204407714594795,-2.0132044179869507e-17,-2.422946449576097,3.245523667028691,0.9999230182138548,-0.11763760963402888,-0.2216874429313581,-0.0050000000000000044,0.0040603093883563035,105,-0.32267684937032065,3.666254,0.00569035,2.25,1.0
-49.333333333333336,750,-0.004782024850518624,-0.6807840393952151,0.45147430434212926,0.011570251894557288,-0.03603355588678581,-2.350584030151367,2.129141330718994,0.39450165102114215,1.8947806286936004e-17,-2.7528773206548496,3.2522631271786713,0.9999153250621675,-0.11618517157997554,-0.2216874429313581,-0.0050000000000000044,0.004005816307414253,120,-0.25035314559427896,3.6708558,0.0036916686,2.25,1.0
-49.6,750,-0.019410384321491867,-0.7355223652479826,0.6682542641722057,0.019237703445228026,-0.0661379844294861,-2.7755630016326904,2.008704662322998,0.429779337292102,-9.237055564881302e-17,-3.188368222819606,3.4882842475133935,0.999862817869403,-0.1175064197966062,-0.2216874429313581,-0.0050000000000000044,0.0040392852567094776,135,-0.21343847275034586,3.6837254,0.004077522,2.25,1.0
-50.0,750,-0.009658814583441602,-0.7048034310437868,0.6251821433384482,0.0164964254884813,-0.020467454459983856,-2.9118709564208984,2.085082769393921,0.43816158119813114,4.736951571734001e-18,-2.885741367309325,3.7900418894742964,0.9998031000855984,-0.11768397713319555,-0.2216874429313581,-0.0050000000000000044,0.004069059578502995,150,-0.20255853652826947,3.7057502,0.0053013507,2.25,1.0
-50.0,750,0.010616757885652278,-0.6928214665825391,0.6405450679263343,0.01969866044287702,0.010383077210125824,-2.466921329498291,2.7622368335723877,0.4115480138525697,-4.263256414560601e-17,-3.130905550179725,3.486331069118507,0.9997897306183068,-0.11768397713319555,-0.2216874429313581,-0.0050000000000000044,0.004069059578502995,165,-0.19955329895697702,3.700655,0.0035506734,2.25,1.0
-49.8,750,-0.009404721939562339,-0.654378587150958,0.6848961475830215,0.024685333077421955,-0.05767968918072681,-2.4608564376831055,2.1977500915527344,0.46909668248971925,4.736951571734001e-18,-2.796875214515798,3.0074588076540243,0.9997738326308939,-0.11709121310767262,-0.2216874429313581,-0.0050000000000000044,0.004031339327298672,180,-0.19811056135728625,3.6962821,0.00416143,2.25,1.0
-49.93333333333333,750,-0.01597834503351455,-0.697032552858196,0.3800598798465926,0.013901396242864286,-0.1160325254832084,-2.6527786254882812,1.8232280015945435,0.4175044370340598,7.105427357601002e-18,-2.8232835381908874,3.6496888516591115,0.99966846003936,-0.11742545258776406,-0.2216874429313581,-0.0050000000000000044,0.004063656081296088,195,-0.19894386292394003,3.6806712,0.0047576097,2.25,1.0
-49.733333333333334,750,-0.004885816768683681,-0.6398762889292657,0.6795690642741862,0.016421129355205018,-0.02745549199357629,-2.074876070022583,2.276068925857544,0.43669106248801026,0.0,-3.429989908377552,3.5938453377535517,0.999657130709983,-0.11755853748483305,-0.2216874429313581,-0.0050000000000000044,0.004046348834744678,210,-0.197644214618259,3.6800418,0.0038709822,2.25,1.0
-49.4,750,-0.0018364975836377279,-0.6849257269094711,0.6865236068451931,0.02048801654797207,0.0018380068770299355,-2.7053351402282715,2.5039334297180176,0.4485345194172191,1.8947806286936004e-17,-3.121480848711423,5.996367590888878,0.9997301622099481,-0.1171621471182584,-0.2216874429313581,-0.0050000000000000044,0.003997291624215802,225,-0.19584554672601487,3.7016482,0.0042545116,2.25,1.0
-49.666666666666664,750,-0.008442368635200702,-0.6105150697004916,0.608057318479474,0.016262317795369442,-0.055993604762479665,-2.5779712200164795,2.6982221603393555,0.4486627653138161,1.6579330501069006e-17,-2.8169836336189618,4.124472864810196,0.9996189618754262,-0.11711118732244487,-0.2216874429313581,-0.0050000000000000044,0.004004924682750983,240,-0.1962339019733005,3.7302186,0.004697966,2.25,1.0
-49.93333333333333,750,-0.01508522285476092,-0.717354605661543,0.6707566004730242,0.023213524372804772,-0.06874346376652829,-2.3146069049835205,2.2435381412506104,0.465428712782206,2.842170943040401e-17,-4.404612287888497,3.0027726640333374,0.9996755289421378,-0.11767731046652886,-0.2216874429313581,-0.0050000000000000044,0.004067706154514575,255,-0.19690517425346377,3.7404122,0.0051483815,2.25,1.0
