_lr_multiplier,_mean_obs,_mean_act,_max_discrew,Steps,_mean_discrew,_mean_adv,_min_discrew,_max_obs,_std_obs,_min_adv,PolicyEntropy,_min_act,_min_obs,BaselineLoss,_std_discrew,TotalLoss,Beta,_std_act,_Episode,_std_adv,_max_act,KL,_max_adv,_MeanReward,CriticLoss
1.0,0.05405155086240944,-0.04677465671518197,-0.0050000000000000044,750,-0.1171560243906956,1.8947806286936004e-17,-0.2216874429313581,0.8128614799205748,0.018979132203190245,-2.031400933597863,3.681584,-2.0237889289855957,-0.47640458234817795,0.0022253337850886915,0.003997644457408495,-0.022326681502448188,1.5,0.37562085669659073,15,0.9999814843679384,2.5986485481262207,0.011502892,3.2598501050953756,-49.333333333333336,0.007378085
1.0,0.01491702554756478,0.003981516155103842,-0.0050000000000000044,750,-0.11768397713319555,1.1842378929335004e-17,-0.2216874429313581,0.8627834803827195,0.016869998534308563,-2.1191746427952167,3.6844082,-1.9329756498336792,-0.6447881996727752,0.0021712145007631726,0.004069059578502995,-0.20693759764692518,1.5,0.3866044502445246,30,0.9999630268829205,2.1303787231445312,0.005552653,2.94342341436376,-50.0,0.26654407
1.0,0.0016366906135723528,-0.005560141356351475,-0.0050000000000000044,750,-0.11746724731657289,1.4210854715202004e-17,-0.2216874429313581,0.555871937609986,0.017072921691483035,-1.9420705167701906,3.6837497,-2.421285629272461,-0.6074973980239665,0.0016472996849447264,0.004032412531063605,-0.21766328125551013,2.25,0.3856760388279857,45,0.9999577524278854,2.383526086807251,0.0063495,2.8664890991297876,-49.666666666666664,0.27479023
1.0,-0.008043401041918231,-0.015263371250436952,-0.004950125000000005,750,-0.11587014115419171,1.6579330501069006e-17,-0.2216874429313581,0.6082647154731793,0.01063470913706962,-1.5662219524397487,3.7045503,-2.0262746810913086,-0.5541659506700376,0.0014711755710948389,0.0040566185683152825,-0.2785582519539727,2.25,0.38854329338865246,60,0.9999570128948582,2.612152576446533,0.0048386278,2.820993456316453,-49.53333333333333,0.418565
1.0,-0.005992356667300658,-0.002799669491127133,0.0,750,-0.11531802125689787,9.473903143468002e-18,-0.2216874429313581,0.5730650266176982,0.013071441322268116,-1.6144008844805304,3.697629,-2.1478891372680664,-0.4811874807513307,0.0005166352167210466,0.004029175425274108,-0.2134575195189582,2.25,0.3759077591066441,75,0.9999353661210536,2.1115305423736572,0.0041342187,3.0834982518557807,-49.06666666666667,0.28620288
1.0,0.008600063491535805,-0.010771110001951457,-0.0050000000000000044,750,-0.11714865982453902,-4.736951571734001e-18,-0.2216874429313581,0.5810362436005744,0.012145391787130668,-2.1983608660789957,3.6627712,-2.0625343322753906,-0.4866639102396423,0.0001102210084045866,0.004023869146670965,-0.22019033203464086,2.25,0.38735942713675575,90,0.999881937697386,1.9773056507110596,0.002625655,3.025700417966566,-49.8,0.601089
1.0,-0.0031350780910116244,-0.006429268808414539,0.0,750,-0.11455540122630381,1.8947806286936004e-17,-0.2216874429313581,0.6322123648752104,0.012100216625967445,-2.4877522925689206,3.64903,-2.001793622970581,-0.38608458938866097,0.0001558252574269328,0.004038843737795784,-0.20430797114902072,2.25,0.3651289687748862,105,0.9998474578007844,1.8976999521255493,0.0037828109,4.175211725268833,-48.666666666666664,0.6506134
1.0,0.012457260525953697,0.018364699691766875,-0.0050000000000000044,750,-0.1150670052845016,-1.8947806286936004e-17,-0.2216874429313581,0.7165394178586485,0.01304210855565598,-2.305642672152332,3.6544957,-1.9962077140808105,-0.37036094753970145,7.397833024145483e-05,0.0038910366317936487,-0.1999880126898024,3.375,0.38306630141206777,120,0.9997479944840184,2.0177195072174072,0.0066073686,3.495106038597905,-48.8,0.66316676
1.0,0.005915010363341468,-0.004120669282507152,-0.0050000000000000044,750,-0.11609367121129795,-5.210646728907401e-17,-0.2216874429313581,0.6145351229549586,0.013378196492133074,-4.25427080634297,3.6734457,-2.5882315635681152,-0.5299435900151367,3.7474135874415656e-05,0.0039374607641324486,-0.19783410645718047,3.375,0.37889027034836104,135,0.9996737730980493,2.167753219604492,0.00305931,2.894080101896431,-49.333333333333336,0.6692167
1.0,-0.002524941529025593,-0.008527502676161628,-0.0050000000000000044,750,-0.11660902472671383,-4.736951571734001e-18,-0.2216874429313581,0.5055687306964681,0.011672864117439744,-2.359141088552867,3.6898384,-2.0935797691345215,-0.4798556155943803,2.2823604492567067e-05,0.0039815323536860495,-0.19729267578972712,3.375,0.3729953638312098,150,0.9995721730839314,2.264780044555664,0.0017292039,5.240449085006222,-49.333333333333336,0.6807489
