Beta,_mean_act,_mean_adv,Steps,_lr_multiplier,ValFuncLoss,_min_obs,_mean_discrew,ExplainedVarOld,_max_adv,_std_discrew,_min_act,_std_act,_std_adv,_MeanReward,KL,_max_act,_std_obs,_mean_obs,PolicyLoss,PolicyEntropy,_max_discrew,ExplainedVarNew,_max_obs,_Episode,_min_adv,_min_discrew
1.5,-0.0482277063569054,-8.526512829121202e-17,1000,1.0,0.002804766247064381,-0.9245906151228125,-0.11768397713319553,-1.2595964088529588,3.559680504755819,0.004069059578502995,-2.5579512119293213,0.3771215075674772,0.9999682428179689,-50.0,0.010165078,2.27831768989563,0.011414462286326935,-0.006039418271134209,-0.02104634,3.6638176,-0.0050000000000000044,0.33874120488503756,0.7658913117008488,20,-1.8785384858458647,-0.2216874429313581
2.25,-0.01858539383264724,-2.1316282072803006e-17,1000,1.0,0.0032866768795639613,-3.1682082089918215,-0.11768397713319553,-0.9580806058524582,3.4003687530542903,0.004069059578502995,-1.9217618703842163,0.3693664870195602,0.9999732763801787,-50.0,0.012739014,1.9479577541351318,0.05034127345752193,0.01748485200999423,-0.017843429,3.6613848,-0.0050000000000000044,0.19317082287050436,6.5501480716870875,40,-3.345867531227031,-0.2216874429313581
3.375,-0.025392009604605845,1.0658141036401503e-17,1000,1.0,0.002418204615101121,-1.9810858354743246,-0.11768397713319553,0.014695782696121262,3.311895008783017,0.004069059578502995,-2.12717866897583,0.3647054380053807,0.9999621120832278,-50.0,0.0064317808,2.497339963912964,0.014141200240811504,-0.00719189026311963,-0.015127045,3.6541083,-0.0050000000000000044,0.4057130620548841,1.7102359387229924,60,-2.096260079673524,-0.2216874429313581
3.375,-0.035496267377980985,-3.552713678800501e-18,1000,1.0,0.0015714403640145114,-1.475233331528692,-0.11425619262143684,0.32917768242188683,3.5990096777676515,0.004122869720924139,-2.335487127304077,0.3730678698587297,0.9999589122441769,-48.25,0.0027166985,2.355128526687622,0.013611888253874176,0.00526565283731853,-0.017126804,3.637731,0.0,0.6189673541534652,0.8244927805457254,80,-1.6433825736111196,-0.2216874429313581
3.375,-0.04632074882270536,-1.7763568394002505e-17,1000,1.0,0.0009925099454442315,-2.4308811817743465,-0.11147312783355115,0.5765454070543679,2.807628490386328,0.004485862897454702,-1.977220892906189,0.36312676776414865,0.9999463599742487,-47.35,0.0023018476,2.26292085647583,0.020720214777274697,-0.0026840449195021493,-0.007744693,3.6391253,0.0,0.779561096762485,1.0644126505395273,100,-1.6513020909365226,-0.2216874429313581
3.375,-0.028787859270029,0.0,1000,1.0,0.0011737411497937838,-3.71041430362961,-0.10591557941987596,0.35298817358160206,2.739812789837637,0.0049086102833024794,-2.836592197418213,0.36688939927885916,0.999955878026909,-45.0,0.004520045,2.131671667098999,0.02690873058458607,-0.011885290696912059,-0.013198729,3.637918,0.0,0.7621585269786588,3.2632702241636005,120,-4.817745661465956,-0.2216874429313581
5.0625,-0.04035067696624901,-3.1974423109204506e-17,1000,1.0,0.00022758547481070194,-2.481692623006264,-0.11768397713319553,0.8804545465862694,7.269773596699983,0.004069059578502995,-2.41999888420105,0.37226535997612287,0.9998977772693017,-50.0,0.013754763,2.363402843475342,0.016483150275243018,-0.002340026347067106,-0.12706527,3.6289725,-0.0050000000000000044,0.9451599089493348,2.8015140173835915,140,-4.415660773503599,-0.2216874429313581
3.375,-0.03961406227690168,-4.263256414560601e-17,1000,1.0,0.0007890660708747472,-0.5776412191251297,-0.11179977827653576,0.7819206236073697,5.869300652071828,0.004523458727087453,-2.370317220687866,0.3686514466198904,0.9999136305403035,-47.5,0.00079019263,2.3263230323791504,0.011014325577671336,-0.004403877355729836,-0.004719716,3.634911,0.0,0.8267421454628056,0.5801787247997435,160,-2.0532894349392756,-0.2216874429313581
3.375,-0.017362320578249636,7.105427357601002e-18,1000,1.0,0.0014546444151253284,-3.3078550042549875,-0.10591557941987596,0.5800707919986372,4.168869792810734,0.0049086102833024794,-2.138106107711792,0.3761792432248519,0.999939016702283,-45.0,0.0029096776,3.1352059841156006,0.023232384849442726,-0.0004280279018312649,-0.014104145,3.6398892,0.0,0.7053047175699767,2.537687401853572,180,-4.570677975398937,-0.2216874429313581
3.375,-0.016609712695761118,7.105427357601002e-18,1000,1.0,0.0016830984033747681,-3.2995441562827654,-0.10591557941987598,0.5223485926942004,3.5638624419484457,0.0049086102833024794,-2.4105477333068848,0.3753286152814371,0.9999489423369734,-45.0,0.004722657,2.642249584197998,0.0329763827275933,-0.0022342584577486253,-0.023878943,3.6366544,0.0,0.6571142074061039,3.4414249829132935,200,-5.860171537336438,-0.2216874429313581
3.375,-0.03189059004141018,7.460698725481052e-17,1000,1.0,0.0001278221572721906,-1.6781589116985685,-0.11768397713319553,0.8878133989652726,4.129226620779795,0.004069059578502995,-2.0895144939422607,0.37548912508845883,0.9998662578468995,-50.0,0.0018355635,2.2111995220184326,0.01468860584133777,-0.0030206217582891375,-0.0067134816,3.640516,-0.0050000000000000044,0.9729461163623244,0.7028609052238262,220,-2.320338123546379,-0.2216874429313581
2.25,-0.026326046615082303,0.0,1000,1.0,0.0006717281408552952,-0.77464227526101,-0.11179977827653576,0.8173698479482023,6.103131858849714,0.004523458727087453,-2.0583620071411133,0.36143710296736997,0.9999051671360001,-47.5,0.001192661,2.1344664096832275,0.013152918195550619,0.0017064707422948285,-0.0056807054,3.645905,0.0,0.8542106526802395,0.7457534233006132,240,-0.9351586695425311,-0.2216874429313581
2.25,-0.032137623079004696,5.684341886080802e-17,1000,1.0,9.830578654480117e-05,-0.8255164445028246,-0.11768397713319553,0.9696671676646261,3.272113349758876,0.004069059578502995,-2.162245035171509,0.3752655821294596,0.9997453958496162,-50.0,0.004546626,2.2592599391937256,0.015001223118309526,-0.006068305585666072,-0.01066281,3.6486273,-0.0050000000000000044,0.9768777075069399,0.8149733655988296,260,-2.630594206554903,-0.2216874429313581
2.25,-0.044145738772465845,-1.4210854715202004e-17,1000,1.0,0.0011857597479681637,-0.5734136847201594,-0.10591557941987598,0.5700332170297,4.4877744941642765,0.004908610283302479,-1.964516282081604,0.3638251925942667,0.9999389890108197,-45.0,0.0044165384,2.334364175796509,0.013345117749577022,0.004118232511528366,-0.014201336,3.6567345,0.0,0.7704318264100243,0.5632904356094283,280,-1.096135491212613,-0.2216874429313581
3.375,-0.04681188943632878,4.263256414560601e-17,1000,1.0,0.0004181123939590849,-2.1493661227333924,-0.11165225405463451,0.7010420573003688,5.756727385897111,0.004470941549831486,-2.5158472061157227,0.38724568921221725,0.9999277413465327,-47.3,0.016338829,2.2876038551330566,0.01838327314570957,-0.001002960374276221,-0.066511214,3.6587315,0.0,0.9065846531846206,1.7368629572258503,300,-1.4472457170052306,-0.2216874429313581
5.0625,-0.04397097120393301,4.263256414560601e-17,1000,1.0,0.0006923521435035041,-1.195050816748174,-0.11179977827653574,0.7495794614788621,4.685252707570337,0.004523458727087453,-2.373889684677124,0.40851851524409516,0.9999248473995835,-47.5,0.0062263277,2.314466953277588,0.02174530504445773,-0.003210558717793186,-0.020929055,3.666509,0.0,0.8469442737350174,1.8187518071881879,320,-4.725414726625791,-0.2216874429313581
5.0625,-0.04796233481355011,-2.842170943040401e-17,1000,1.0,0.00010149476562513604,-0.7484646534832564,-0.11768397713319553,0.9326838233638484,2.7712083094696993,0.004069059578502995,-2.3534998893737793,0.37149844078535094,0.9998407329965269,-50.0,0.001960184,1.9309477806091309,0.014981425937285719,0.0028124769847788908,-0.011976085,3.6662428,-0.0050000000000000044,0.9750571247041253,2.4465180625469727,340,-6.166043150373657,-0.2216874429313581
