Beta,_mean_obs,_std_discrew,_lr_multiplier,NewPolicyLoss,_min_adv,_std_obs,_MeanReward,_max_obs,_mean_discrew,_max_discrew,PolicyEntropy,KL,BaselineLoss,_max_adv,_Episode,CriticLoss,_min_obs,_std_act,_min_discrew,_min_act,_mean_adv,_mean_act,_max_act,_std_adv,Steps
1.5,-0.036730238735779255,0.004032378267922734,1.0,-0.28736857,-2.5737290459495554,0.01002042227020564,-49.35,0.4599622672447778,-0.11619399435245274,-0.0050000000000000044,3.6729505,0.008083059,0.00285479885981304,3.3377549117824064,20,0.052257452,-0.6236677145067275,0.3690107295079478,-0.2216874429313581,-1.967896819114685,1.4210854715202004e-17,-0.023373574550321793,2.1481826305389404,0.9999608927532107,1000
2.25,0.009082043852463672,0.003928843223292063,1.0,0.24645025,-2.066766072070986,0.012411110225692728,-48.95,0.7595835452892465,-0.1162019277339438,-0.0050000000000000044,3.6676946,0.00712018,0.0013640936627559968,3.986211203605153,40,1.5176052,-0.8286039066238962,0.3743998707511413,-0.2216874429313581,-2.1850504875183105,-7.815970093361102e-17,-0.007133387722977204,2.141995668411255,0.9999593054453585,1000
2.25,0.003546028517116857,0.004045386721241729,1.0,0.120591454,-1.6811822597038193,0.009234374614064346,-49.8,0.48148021387703127,-0.11751996719328357,-0.0050000000000000044,3.645457,0.003138662,0.0003089482813793564,2.6348653196484504,60,0.1300125,-0.6226948260838538,0.38022882505806943,-0.2216874429313581,-2.0669896602630615,-3.730349362740526e-17,-0.012869058122043498,2.0792179107666016,0.9999418216721038,1000
2.25,-0.008878222286795323,0.003924594685396122,1.0,-0.14237988,-1.960400399389791,0.011641302518253788,-48.4,0.5059623087158738,-0.11535962575129535,-0.0050000000000000044,3.637734,0.0048257303,0.00011955566334540621,3.5991834385926564,80,0.63407266,-0.9523534644676209,0.37002673620723986,-0.2216874429313581,-2.1837410926818848,2.842170943040401e-17,-0.014895785421715118,2.2286107540130615,0.9998793506016393,1000
2.25,0.0010899059481339459,0.003918119332245972,1.0,-0.16175511,-3.9144038239841716,0.012328796955561922,-49.05,0.6352689547736845,-0.11603181208161775,-0.0050000000000000044,3.6372447,0.002231256,7.170218539121928e-05,4.777124843909688,100,0.36273944,-0.5969868235798107,0.3721058368842339,-0.2216874429313581,-2.2051565647125244,2.842170943040401e-17,0.006252335253520869,2.3282008171081543,0.9997429374842299,1000
2.25,0.0005787577749836652,0.00404769651164558,1.0,-0.07706693,-5.879129614937186,0.01140172874705277,-49.8,0.7447918751066586,-0.11755216736449199,-0.0050000000000000044,3.6235566,0.00353974,1.3377549494665082e-05,4.751807524153865,120,0.05553033,-0.5147007063026214,0.37613410463235497,-0.2216874429313581,-1.9354135990142822,-9.237055564881302e-17,-0.004478706927387975,2.5640532970428467,0.9995185248890882,1000
2.25,0.005963098032227223,0.004045888441807357,1.0,0.0064557306,-2.6256285659736203,0.01140271681583611,-49.75,0.6402616153061282,-0.11754204423076073,-0.0050000000000000044,3.6056464,0.002583962,8.433993055306928e-06,7.999145405778275,140,0.06120452,-0.5473875294734352,0.37294955495189963,-0.2216874429313581,-1.7762730121612549,-3.552713678800501e-17,0.026194199854158797,2.0412747859954834,0.9993062733935764,1000
2.25,-0.0014424768926873414,0.004027206493206098,1.0,0.029595636,-4.500148797828394,0.014683813804761681,-49.8,0.7105451853850578,-0.11727816387932305,-0.0050000000000000044,3.6045053,0.0038555737,1.1859150800205735e-05,4.6396059136764345,160,0.043221228,-0.9274370617594484,0.37565820212696266,-0.2216874429313581,-2.169818639755249,0.0,-0.011408086176845245,2.0391745567321777,0.9993637985986309,1000
2.25,0.002516983694013984,0.0040313979177506966,1.0,-0.03134167,-2.0879621191305295,0.009765667331007631,-49.55,0.571796176328467,-0.1168924010229417,0.0,3.602117,0.0021501833,1.9059323299342584e-05,7.650922867777503,180,0.0405753,-0.5793932349049045,0.36268296635873076,-0.2216874429313581,-2.416998863220215,-7.105427357601002e-18,-0.002334043074893998,2.3688602447509766,0.9994824320692163,1000
2.25,-0.004180413516018577,0.003876344042387088,1.0,-0.0628583,-1.8853299949977629,0.0110785195760113,-48.65,0.604893597933996,-0.11530575421251173,-0.0050000000000000044,3.6020045,0.0049149655,6.0881134567816256e-05,4.4415581038531835,200,0.050424226,-0.7865253355719123,0.3675660121579266,-0.2216874429313581,-2.14866042137146,-3.552713678800501e-17,0.024534566082642414,1.9832983016967773,0.999700893895385,1000
2.25,0.005427834929729722,0.003987571126902689,1.0,-0.072234176,-2.6099275019823187,0.011436037017806147,-49.4,0.7097445042201507,-0.11662734880365062,0.0,3.589474,0.002654424,1.9825086014773297e-05,4.164733429425016,220,0.027803048,-0.5998728561984032,0.3723925195014401,-0.2216874429313581,-2.2660794258117676,-7.105427357601002e-18,0.008412711025681347,2.395522117614746,0.9994633465458889,1000
2.25,0.011320143401426657,0.003951380576144998,1.0,-0.057301294,-2.692747584673646,0.00996464813058152,-49.25,0.5512724461818845,-0.11661144056775964,-0.0050000000000000044,3.571673,0.0025373409,1.964592532985485e-05,4.462241343702652,240,0.024971198,-0.558052400097247,0.35961217557182645,-0.2216874429313581,-2.3593993186950684,-1.4210854715202004e-17,0.005454408908612094,1.711020827293396,0.9995117360815223,1000
2.25,0.006968045266605961,0.0038810864824085855,1.0,-0.008098328,-1.7664314917799548,0.011887256002219264,-48.55,0.6727552187609215,-0.11551291259385897,-0.0050000000000000044,3.5884266,0.0034453706,7.741348434285022e-05,5.366140700769971,260,0.01068857,-0.6672921283103895,0.3813213686721467,-0.2216874429313581,-2.234908103942871,-1.4210854715202004e-17,0.03564197901322041,2.6538290977478027,0.9997333857716659,1000
2.25,0.008016807275650779,0.0038297422495492768,1.0,-0.014035175,-0.8807044690225068,0.01229970115178231,-47.35,0.6353970083308077,-0.11175221121117081,-0.0050000000000000044,3.5937488,0.0015456374,0.00023326870567801777,5.684383763680303,280,0.0154709965,-0.6194945464065874,0.370535390761738,-0.2216874429313581,-2.2822988033294678,-4.263256414560601e-17,0.06234166442952119,2.137751340866089,0.9998336880154443,1000
2.25,0.0006214402466804384,0.004082279824741155,1.0,-0.061877877,-1.2497307264461974,0.012971592675741037,-47.8,0.6735301208105186,-0.11077947029520177,0.0,3.583087,0.0024678456,0.00026502084890074666,4.392736528629832,300,0.037515134,-0.6399540845526095,0.3802622021219118,-0.2216874429313581,-2.315307378768921,-7.105427357601002e-18,0.005729652005713433,2.3609824180603027,0.9998431231081479,1000
2.25,-0.002538895754667166,0.003982326805653998,1.0,-0.037275974,-1.8769094311309522,0.012349795595647906,-48.75,0.6877095548609089,-0.11500522655791545,-0.004950125000000005,3.5947902,0.0040072068,7.823000828734508e-05,5.547208864096115,320,0.0038520857,-0.5256468401567246,0.36012648070530884,-0.2216874429313581,-2.1350507736206055,8.526512829121202e-17,0.018529157818760723,2.1224825382232666,0.9997329899066244,1000
3.375,0.018590845494818414,0.0040313643764176895,1.0,-0.029630944,-1.4199239302141653,0.011658196052172146,-48.35,0.7069751767310911,-0.11418370191281613,-0.0050000000000000044,3.5840921,0.0068401983,0.0001580734300622797,6.249960419560064,340,0.005668247,-0.5410530603438504,0.38282152640316786,-0.2216874429313581,-2.002765417098999,-2.842170943040401e-17,0.07194185398495756,2.053666830062866,0.9998029119924392,1000
2.25,0.022475497738128066,0.003737090881121303,1.0,-0.058585204,-1.402083345443265,0.011463934289113726,-47.65,0.6922273272483461,-0.11399752905932148,-0.0050000000000000044,3.5844977,0.0012592182,0.0001482350213307554,6.413483420558127,360,0.027140118,-0.3879151639184691,0.37536713505721764,-0.2216874429313581,-1.9664850234985352,-1.7763568394002505e-17,0.08209653196390718,2.174255609512329,0.9998095261157913,1000
2.25,0.0026848512304298707,0.00395458207138866,1.0,-0.056492005,-1.4005350305094064,0.009843009433362275,-46.55,0.6351464701773841,-0.10880047882618443,0.0,3.576386,0.003111665,0.00040798915455992306,4.3596632816407705,380,0.0068155527,-0.5260426097936797,0.37976945604929385,-0.2216874429313581,-2.154853105545044,1.4210854715202004e-17,0.0295201646045316,2.0158145427703857,0.9998691181597525,1000
2.25,0.004356183009687474,0.0039328086370404814,1.0,-0.09550279,-2.0660411618816847,0.011288277133113324,-48.1,0.6226191569920853,-0.11366209010970041,-0.004803465217877188,3.5506716,0.0033584873,0.0001884422075593728,4.6967316358810445,400,0.05428758,-0.56697400049096,0.38215111872645857,-0.2216874429313581,-2.318931818008423,-7.105427357601002e-18,0.05864905964309582,2.1023521423339844,0.9998047953757268,1000
2.25,0.010911500398077652,0.003878133033395953,1.0,-0.11997871,-2.981232488797724,0.011336295957333733,-47.4,0.6742463104872777,-0.11150973495815288,0.0,3.5347514,0.0021791684,0.00018767568736374662,3.0788149603566493,420,0.09228881,-0.5593768875661688,0.38739852442455674,-0.2216874429313581,-2.113278865814209,4.263256414560601e-17,0.06966488583968021,2.157163143157959,0.9998304969473394,1000
2.25,0.013421995370155421,0.003840027401147517,1.0,-0.15632364,-1.5618650846996505,0.009667861545516623,-47.2,0.6645876189756126,-0.11059457327334812,0.0,3.54814,0.0031120433,0.00024221862381123974,5.168599667715387,440,0.23078988,-0.5300948863621002,0.3666601308960089,-0.2216874429313581,-2.2173402309417725,1.4210854715202004e-17,0.07757214277581079,2.419428825378418,0.9998445157747919,1000
