_std_obs,ValFuncLoss,_max_discrew,Beta,_lr_multiplier,_min_act,ExplainedVarOld,_max_act,_max_obs,_mean_act,_std_adv,KL,_min_adv,PolicyLoss,_min_obs,PolicyEntropy,_mean_adv,_MeanReward,_Episode,_min_discrew,_std_discrew,_max_adv,_mean_obs,ExplainedVarNew,_std_act,Steps,_mean_discrew
0.025860782230961547,0.002027661448601521,-0.0050000000000000044,1.5,1.0,-2.4663941860198975,0.06241858718013238,2.1002626419067383,0.6915435966967052,-0.09275097373407334,0.9999491285008723,0.008355028,-2.8657939756967314,-0.01893695,-1.4638436892697937,3.6761878,-1.4921397450962105e-16,-49.85,20,-0.2216874429313581,0.004059905757833363,3.8274020800189965,-0.11387909156104023,0.7096857053739596,0.3628046482266832,1000,-0.1176343753869424
0.010422587232735045,0.0031627328123949613,-0.0050000000000000044,2.25,1.0,-2.341658115386963,-0.6338865744979636,2.4007773399353027,0.6726690749507965,0.059445072062895635,0.9999672931962157,0.009688878,-1.9878839896138254,-0.017176062,-0.30613750450020377,3.7011294,4.263256414560601e-17,-49.75,40,-0.2216874429313581,0.00403325846555328,4.266001913995224,0.055153046708628244,0.21586438787038087,0.38512409023972066,1000,-0.11690060875683836
0.009790651899626142,0.00294787447662076,-0.0050000000000000044,2.25,1.0,-2.0174951553344727,-0.07247058235465298,2.1961112022399902,0.5088811616339127,0.017862072383984923,0.9999701230077762,0.0024695338,-1.7200869397595826,-0.005880758,-0.4601252705921199,3.7102764,0.0,-49.35,60,-0.2216874429313581,0.003971543031068632,3.0523621437269544,0.021057036114274123,0.2666827831481695,0.38889131811197447,1000,-0.11684250393664079
0.010989697942815506,0.0018430048028928133,-0.0050000000000000044,2.25,1.0,-2.5503599643707275,0.19214498017550408,2.3938755989074707,0.6476188082133641,0.01832061680126935,0.9999638285180404,0.0035380034,-1.691079071123088,-0.007963821,-0.5401393775266053,3.6980376,7.105427357601002e-18,-49.1,80,-0.2216874429313581,0.003971547772829263,2.4431055300196776,0.00869836793687008,0.5359499930726319,0.39334889205988116,1000,-0.11585299303267277
0.012988329387358081,0.0010346142354389356,-0.0050000000000000044,2.25,1.0,-2.2740941047668457,0.5466268936450325,2.4040849208831787,0.6793271823424641,0.011666355005349032,0.9999497744666096,0.0042393915,-1.771482010134912,-0.008585977,-0.54396422478641,3.6873908,3.1974423109204506e-17,-49.15,100,-0.2216874429313581,0.003920611971447276,2.799109832852001,0.012736752032854863,0.7413373351274184,0.396111046685827,1000,-0.11646168010687899
0.01207737404361863,0.0005362316824072904,-0.0050000000000000044,2.25,1.0,-2.352414846420288,0.7196677200349908,2.168328285217285,0.5240836626438883,0.017597647458896973,0.9999357819659017,0.0026072667,-1.908885322218383,-0.0064358558,-0.5227673687190221,3.6950116,-1.0658141036401503e-17,-49.6,120,-0.2216874429313581,0.004017610361409886,3.2224919368757208,0.009518066960581112,0.8667032962504584,0.389803013317074,1000,-0.117281556370686
0.014065679613787026,0.0002987035857157891,-0.0050000000000000044,2.25,1.0,-2.1872754096984863,0.8542509697163966,1.8628473281860352,0.5357486225022455,0.026788129466964166,0.9999055239640623,0.0036383474,-3.753156074299892,-0.007859266,-0.5449796542324948,3.707562,2.1316282072803006e-17,-48.85,140,-0.2216874429313581,0.003914297495558681,3.043455922678273,0.020618849728388844,0.9237831415419281,0.3994359846391069,1000,-0.11476967713037195
0.018422744947631155,0.00022732588967238647,-0.0050000000000000044,2.25,1.0,-2.9352731704711914,0.8964805834465797,2.282848358154297,0.6793699756743307,-0.02555739251873456,0.9998835003837253,0.003339849,-3.519313387792728,-0.0072500994,-0.8461694971746743,3.7122896,-3.1974423109204506e-17,-49.6,160,-0.2216874429313581,0.003982904179410044,3.018448800441079,-0.008322448675868715,0.946178608671503,0.39777466169009834,1000,-0.1169943261855528
0.012658309852887848,0.00028753572574713844,0.0,2.25,1.0,-2.3517768383026123,0.9073301162035454,2.267059087753296,0.6457578920381398,-0.03178996203641873,0.9998674378283504,0.0032152794,-2.6776201086295592,-0.00707608,-0.5922748075406175,3.7181892,0.0,-48.5,180,-0.2216874429313581,0.00406492439764059,3.7113948714060734,-0.0054534534033063705,0.9302488835250843,0.37746695354710913,1000,-0.11349407648454819
0.013405774553336226,5.51997735357288e-05,-0.0050000000000000044,2.25,1.0,-2.48032546043396,0.9801835315116557,2.2156896591186523,0.6187843342431668,0.01735149958654074,0.9997498259870207,0.003154892,-2.9442622279968154,-0.0075674653,-0.6156088238442441,3.7393334,-1.4210854715202004e-17,-49.45,200,-0.2216874429313581,0.0040038303548143705,3.6695521613824558,0.006058709768320076,0.9863239853520716,0.4069506888403443,1000,-0.1168154842584031
0.015305512978669618,6.936968807978906e-05,0.0,2.25,1.0,-2.207779884338379,0.9797815687651551,2.2645859718322754,0.6279248335480349,-0.014223042465979233,0.9997351720617791,0.003918715,-3.187559253052032,-0.00896994,-0.8393578303773341,3.7509937,1.4210854715202004e-17,-49.05,220,-0.2216874429313581,0.003930317902815925,3.4680367123309614,-0.013741042103947545,0.9824681285404903,0.4114472194981008,1000,-0.11582814027920539
0.02034636007456383,6.037304850292237e-05,-0.0050000000000000044,2.25,1.0,-2.544466495513916,0.981695952459978,2.1028056144714355,0.629559030731641,0.006176543783105444,0.9997259536011917,0.0026393994,-3.782862058864906,-0.0068101124,-0.8583981946294564,3.7499723,-2.1316282072803006e-17,-49.7,240,-0.2216874429313581,0.004014703869599367,3.515398082642278,-0.002774585818948297,0.9866848392860009,0.4190220262401455,1000,-0.11732526947037725
