_min_adv,_min_obs,Beta,_max_adv,_mean_act,_Episode,_mean_discrew,_std_act,_std_adv,ExplainedVarNew,_max_discrew,_max_act,ValFuncLoss,_lr_multiplier,PolicyEntropy,_max_obs,_min_act,_MeanReward,ExplainedVarOld,Steps,_std_obs,_std_discrew,PolicyLoss,_mean_adv,_mean_obs,_min_discrew,KL
-3.830110607852741,-1.7333777497321459,1.5,2.0382254904027644,-0.10695556465769186,20,-0.11278513890807913,0.37300991962213503,0.9999856327214499,-0.09094155411027316,-0.0050000000000000044,2.170668840408325,0.008189568304537346,1.0,3.67117,0.9572571618656195,-2.7695424556732178,-48.2,-4.601594952572616,1000,0.01848093722028466,0.003935492807496517,-0.015844282,-1.5631940186722203e-16,-0.034127840989368816,-0.2216874429313581,0.008139305
-1.88531225778399,-0.3888048906355655,2.25,2.8879376426598613,0.04706615463719936,40,-0.11581770614027813,0.3727122547136057,0.9999736402037943,0.22971778180678137,-0.0050000000000000044,2.331894636154175,0.003310800298652946,1.0,3.66953,0.8361611192677159,-2.473512887954712,-49.3,-0.8834431794213067,1000,0.012132199112710556,0.003988645147679582,-0.009699384,1.4210854715202004e-17,0.03314470110311889,-0.2216874429313581,0.0065032416
-1.5711256363947759,-0.4276459850487557,2.25,3.6185931767434427,0.01732322036701953,60,-0.11674738533310898,0.34764448663675507,0.9999677094585224,0.2938499975819715,0.0,2.1951582431793213,0.0028041194997052684,1.0,3.670723,0.6593243186784844,-1.9132698774337769,-49.25,-0.014807154453435167,1000,0.009316034966862183,0.003966882732593355,-0.00835526,2.1316282072803006e-17,0.014332114067167947,-0.2216874429313581,0.0045922375
-1.954962181566879,-0.431173126921077,2.25,2.946453112772986,0.003349281782575417,80,-0.1150563383410467,0.3717234809184487,0.9999633044409977,0.4865254904379962,-0.0050000000000000044,2.2020816802978516,0.0020107857923871205,1.0,3.6949584,0.6258340156070582,-2.079136371612549,-48.7,0.09447250344877645,1000,0.013288201255522566,0.003909478616457518,-0.008186532,-1.4210854715202004e-17,0.001499953260209008,-0.2216874429313581,0.0039034132
-1.6539410531909113,-0.491684209443504,3.375,2.5538100320095403,0.008418686887598597,100,-0.11664145096856794,0.3808786316793934,0.9999542487023546,0.6586778759508447,-0.0050000000000000044,2.2604689598083496,0.0013578397768001574,1.0,3.7034364,0.6008945139003087,-2.2521450519561768,-49.45,0.44566942319457015,1000,0.011954341012975775,0.003960325972628538,-0.009897218,-2.1316282072803006e-17,0.005005211095569584,-0.2216874429313581,0.0063235215
-1.6673659657363928,-0.6285844641107585,2.25,2.969543071474944,0.015095656310440972,120,-0.1176152367642863,0.37851292340238996,0.9999450511941657,0.7841350706839595,-0.0050000000000000044,2.267796039581299,0.0008798357772456636,1.0,3.7005372,0.6868334843915999,-2.4999966621398926,-49.9,0.610357318337456,1000,0.014905285907620762,0.0040570889648017285,-0.005410267,-1.0658141036401503e-17,0.0027381537451357696,-0.2216874429313581,0.0014416797
-1.8340688249668413,-0.5178496694418503,2.25,3.2543060984858387,0.0024118508041719904,140,-0.1172920383906115,0.3770933570831813,0.9999211384297889,0.9002804711831415,-0.0050000000000000044,2.1885578632354736,0.0003994571710950101,1.0,3.7045455,0.6031513950144161,-1.991355538368225,-49.4,0.8027989538288777,1000,0.014435666149090073,0.0040043392292451515,-0.005101217,4.9737991503207014e-17,0.003200406165600777,-0.2216874429313581,0.0021749912
-2.3218695024525875,-0.3791066507105232,2.25,3.073005643673633,0.001982496344251558,160,-0.11645853017085163,0.38133713274921194,0.9999024747874716,0.9477275766476774,-0.004925374375000005,2.0869922637939453,0.0002136239883891202,1.0,3.7065191,0.4632938372568848,-2.0622217655181885,-49.65,0.8879167580779252,1000,0.011985971744833925,0.004055370995403619,-0.009032482,-3.552713678800501e-18,0.007979590349912214,-0.2216874429313581,0.004826435
-2.918347923235694,-0.6179528248104333,2.25,2.976943787505964,-0.0283523278827779,180,-0.11551015352157674,0.3685263278664893,0.9998634756193218,0.951950862380037,0.0,2.0562639236450195,0.00019287205006744834,1.0,3.7043037,0.5396398439933168,-1.9080090522766113,-49.05,0.9301312191968842,1000,0.015860920475592497,0.003982546262196749,-0.007464858,0.0,-0.015614781062339622,-0.2216874429313581,0.0045060664
-2.7316266624359793,-0.5934837657855502,2.25,5.114259996083915,-0.02450814691078267,200,-0.11511240025265561,0.3790003741245457,0.9998683485596996,0.9260512866317917,-0.0050000000000000044,2.2961599826812744,0.00029263514383615926,1.0,3.6920085,0.5364274058721075,-2.3318042755126953,-48.25,0.9151018474885513,1000,0.012824675264967488,0.003956202490127354,-0.0060673296,2.1316282072803006e-17,-0.006923091556173113,-0.2216874429313581,0.0026211326
